zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1726785525,1726958332,,,3,"horse-improve-department.top.","NS","top.","ns1.dnsowl.com."
1726785525,1726958332,,,3,"horse-improve-department.top.","NS","top.","ns2.dnsowl.com."
1726785525,1726958332,,,3,"horse-improve-department.top.","NS","top.","ns3.dnsowl.com."
,,1726577036,1727046066,21,"horse-improve-department.top.","A","horse-improve-department.top.","135.181.203.1"
,,1726577036,1727190271,47,"horse-improve-department.top.","NS","top.","ns1.dnsowl.com."
,,1726577036,1727190271,47,"horse-improve-department.top.","NS","top.","ns2.dnsowl.com."
,,1726577036,1727190271,47,"horse-improve-department.top.","NS","top.","ns3.dnsowl.com."
,,1726577036,1727046066,25,"horse-improve-department.top.","NS","horse-improve-department.top.","ns1.dnsowl.com."
,,1726577036,1727046066,25,"horse-improve-department.top.","NS","horse-improve-department.top.","ns2.dnsowl.com."
,,1726577036,1727046066,25,"horse-improve-department.top.","NS","horse-improve-department.top.","ns3.dnsowl.com."
,,1726707459,1726707459,1,"horse-improve-department.top.","SOA","horse-improve-department.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726707103 7200 1800 1209600 600"
,,1726707965,1726707965,2,"horse-improve-department.top.","SOA","horse-improve-department.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726707712 7200 1800 1209600 600"
,,1726779685,1726779685,2,"horse-improve-department.top.","SOA","horse-improve-department.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726779404 7200 1800 1209600 600"
,,1726817953,1726817953,2,"horse-improve-department.top.","SOA","horse-improve-department.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726817812 7200 1800 1209600 600"
,,1727190271,1727190271,1,"horse-improve-department.top.","SOA","horse-improve-department.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1727190117 7200 1800 1209600 600"
