zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1717284267,1717716616,,,6,"click-manage-room.cfd.","NS","cfd.","ns1.dnsowl.com."
1717284267,1717716616,,,6,"click-manage-room.cfd.","NS","cfd.","ns2.dnsowl.com."
1717284267,1717716616,,,6,"click-manage-room.cfd.","NS","cfd.","ns3.dnsowl.com."
,,1717245940,1717650218,28,"click-manage-room.cfd.","A","click-manage-room.cfd.","135.181.203.1"
,,1717245940,1717751986,33,"click-manage-room.cfd.","NS","cfd.","ns1.dnsowl.com."
,,1717245940,1717751986,33,"click-manage-room.cfd.","NS","cfd.","ns2.dnsowl.com."
,,1717245940,1717751986,33,"click-manage-room.cfd.","NS","cfd.","ns3.dnsowl.com."
,,1717245940,1717650218,34,"click-manage-room.cfd.","NS","click-manage-room.cfd.","ns1.dnsowl.com."
,,1717245940,1717650218,34,"click-manage-room.cfd.","NS","click-manage-room.cfd.","ns2.dnsowl.com."
,,1717245940,1717650218,34,"click-manage-room.cfd.","NS","click-manage-room.cfd.","ns3.dnsowl.com."
,,1717245945,1717245945,2,"click-manage-room.cfd.","SOA","click-manage-room.cfd.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1717245705 7200 1800 1209600 600"
,,1717664707,1717664707,1,"click-manage-room.cfd.","SOA","click-manage-room.cfd.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1717664506 7200 1800 1209600 600"
,,1717751986,1717751986,2,"click-manage-room.cfd.","SOA","click-manage-room.cfd.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1717751807 7200 1800 1209600 600"
