zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1725921539,1726958332,,,7,"competitive-searchvolume-considered.top.","NS","top.","ns1.dnsowl.com."
1725921539,1726958332,,,7,"competitive-searchvolume-considered.top.","NS","top.","ns2.dnsowl.com."
1725921539,1726958332,,,7,"competitive-searchvolume-considered.top.","NS","top.","ns3.dnsowl.com."
,,1725871243,1725876992,12,"competitive-searchvolume-considered.top.","A","competitive-searchvolume-considered.top.","135.181.203.1"
,,1725871243,1727167205,54,"competitive-searchvolume-considered.top.","NS","top.","ns1.dnsowl.com."
,,1725871243,1727167205,54,"competitive-searchvolume-considered.top.","NS","top.","ns2.dnsowl.com."
,,1725871243,1727167205,54,"competitive-searchvolume-considered.top.","NS","top.","ns3.dnsowl.com."
,,1725871243,1726106204,17,"competitive-searchvolume-considered.top.","NS","competitive-searchvolume-considered.top.","ns1.dnsowl.com."
,,1725871243,1726106204,17,"competitive-searchvolume-considered.top.","NS","competitive-searchvolume-considered.top.","ns2.dnsowl.com."
,,1725871243,1726106204,17,"competitive-searchvolume-considered.top.","NS","competitive-searchvolume-considered.top.","ns3.dnsowl.com."
,,1725958696,1725958696,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1725958614 7200 1800 1209600 600"
,,1726015479,1726015484,3,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726015306 7200 1800 1209600 600"
,,1726035649,1726035649,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726035408 7200 1800 1209600 600"
,,1726041989,1726041989,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726041721 7200 1800 1209600 600"
,,1726050762,1726050762,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726050406 7200 1800 1209600 600"
,,1726088481,1726088481,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726088205 7200 1800 1209600 600"
,,1726095197,1726095197,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726095099 7200 1800 1209600 600"
,,1726154879,1726154879,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726154804 7200 1800 1209600 600"
,,1726242688,1726242688,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726242404 7200 1800 1209600 600"
,,1726310255,1726310255,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726309919 7200 1800 1209600 600"
,,1726380560,1726380560,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726380404 7200 1800 1209600 600"
,,1726482685,1726482685,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726482419 7200 1800 1209600 600"
,,1726497916,1726497916,2,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726497700 7200 1800 1209600 600"
,,1726569251,1726569251,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726569100 7200 1800 1209600 600"
,,1726620618,1726620618,3,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726620402 7200 1800 1209600 600"
,,1726656078,1726656078,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726655806 7200 1800 1209600 600"
,,1727167205,1727167205,1,"competitive-searchvolume-considered.top.","SOA","competitive-searchvolume-considered.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1727167000 7200 1800 1209600 600"
