zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1719959959,1726958332,,,39,"flow-exulltation-uplift.top.","NS","top.","ns1.dnsowl.com."
1719959959,1726958332,,,39,"flow-exulltation-uplift.top.","NS","top.","ns2.dnsowl.com."
1719959959,1726958332,,,39,"flow-exulltation-uplift.top.","NS","top.","ns3.dnsowl.com."
,,1719895716,1724031546,74,"flow-exulltation-uplift.top.","A","flow-exulltation-uplift.top.","135.181.203.1"
,,1719895716,1727050351,205,"flow-exulltation-uplift.top.","NS","top.","ns1.dnsowl.com."
,,1719895716,1727050351,205,"flow-exulltation-uplift.top.","NS","top.","ns2.dnsowl.com."
,,1719895716,1727050351,205,"flow-exulltation-uplift.top.","NS","top.","ns3.dnsowl.com."
,,1719895716,1726537384,102,"flow-exulltation-uplift.top.","NS","flow-exulltation-uplift.top.","ns1.dnsowl.com."
,,1719895716,1726537384,102,"flow-exulltation-uplift.top.","NS","flow-exulltation-uplift.top.","ns2.dnsowl.com."
,,1719895716,1726537384,102,"flow-exulltation-uplift.top.","NS","flow-exulltation-uplift.top.","ns3.dnsowl.com."
,,1719895716,1719895716,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719895610 7200 1800 1209600 600"
,,1719941170,1719941170,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719940914 7200 1800 1209600 600"
,,1720040491,1720040491,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720040206 7200 1800 1209600 600"
,,1720080416,1720080418,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720080128 7200 1800 1209600 600"
,,1720316350,1720316350,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720316210 7200 1800 1209600 600"
,,1722026691,1722026711,5,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722026507 7200 1800 1209600 600"
,,1722518276,1722518276,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722517910 7200 1800 1209600 600"
,,1722594740,1722594741,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722594413 7200 1800 1209600 600"
,,1722598289,1722598289,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722598010 7200 1800 1209600 600"
,,1722606938,1722606938,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722606713 7200 1800 1209600 600"
,,1722644300,1722644300,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722644205 7200 1800 1209600 600"
,,1722707917,1722707917,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722707806 7200 1800 1209600 600"
,,1722711713,1722711713,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722711406 7200 1800 1209600 600"
,,1722715425,1722715425,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722715316 7200 1800 1209600 600"
,,1723838654,1723838654,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723838532 7200 1800 1209600 600"
,,1723842567,1723842573,4,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723842409 7200 1800 1209600 600"
,,1723883661,1723883661,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723883507 7200 1800 1209600 600"
,,1724193407,1724193407,6,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724193108 7200 1800 1209600 600"
,,1724212017,1724212017,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724211707 7200 1800 1209600 600"
,,1724285434,1724285434,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724285209 7200 1800 1209600 600"
,,1724290993,1724290993,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724290912 7200 1800 1209600 600"
,,1724326532,1724326532,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724326307 7200 1800 1209600 600"
,,1724384523,1724384523,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724384205 7200 1800 1209600 600"
,,1724654530,1724654530,4,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724654225 7200 1800 1209600 600"
,,1724661173,1724661173,4,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724661110 7200 1800 1209600 600"
,,1724798728,1724798728,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724798507 7200 1800 1209600 600"
,,1724893860,1724893860,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724893606 7200 1800 1209600 600"
,,1724965905,1724965905,2,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724965602 7200 1800 1209600 600"
,,1724990953,1724990953,1,"flow-exulltation-uplift.top.","SOA","flow-exulltation-uplift.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724990808 7200 1800 1209600 600"
