zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1726181666,1726958332,,,6,"growing-prices-advanced.top.","NS","top.","ns1.dnsowl.com."
1726181666,1726958332,,,6,"growing-prices-advanced.top.","NS","top.","ns2.dnsowl.com."
1726181666,1726958332,,,6,"growing-prices-advanced.top.","NS","top.","ns3.dnsowl.com."
,,1725949754,1726573355,22,"growing-prices-advanced.top.","A","growing-prices-advanced.top.","135.181.203.1"
,,1725949754,1727175337,70,"growing-prices-advanced.top.","NS","top.","ns1.dnsowl.com."
,,1725949754,1727175337,70,"growing-prices-advanced.top.","NS","top.","ns2.dnsowl.com."
,,1725949754,1727175337,70,"growing-prices-advanced.top.","NS","top.","ns3.dnsowl.com."
,,1725949754,1726573355,31,"growing-prices-advanced.top.","NS","growing-prices-advanced.top.","ns1.dnsowl.com."
,,1725949754,1726573355,31,"growing-prices-advanced.top.","NS","growing-prices-advanced.top.","ns2.dnsowl.com."
,,1725949754,1726573355,31,"growing-prices-advanced.top.","NS","growing-prices-advanced.top.","ns3.dnsowl.com."
,,1725949754,1725949754,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1725949619 7200 1800 1209600 600"
,,1725961051,1725961051,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1725960706 7200 1800 1209600 600"
,,1726102559,1726102573,4,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726102314 7200 1800 1209600 600"
,,1726107407,1726107407,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726107102 7200 1800 1209600 600"
,,1726174900,1726174900,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726174598 7200 1800 1209600 600"
,,1726213217,1726213217,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726213006 7200 1800 1209600 600"
,,1726219171,1726219171,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726219006 7200 1800 1209600 600"
,,1726220011,1726220011,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726219902 7200 1800 1209600 600"
,,1726302750,1726302750,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726302409 7200 1800 1209600 600"
,,1726302907,1726302907,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726302709 7200 1800 1209600 600"
,,1726736306,1726736306,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726736206 7200 1800 1209600 600"
,,1726823907,1726823907,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726823803 7200 1800 1209600 600"
,,1726983428,1726983428,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1726983103 7200 1800 1209600 600"
,,1727079452,1727079452,2,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1727079112 7200 1800 1209600 600"
,,1727175337,1727175337,1,"growing-prices-advanced.top.","SOA","growing-prices-advanced.top.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1727175109 7200 1800 1209600 600"
