zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1719096646,1727131961,,,93,"house-server-digital.xyz.","NS","xyz.","ns1.dnsowl.com."
1719096646,1727131961,,,93,"house-server-digital.xyz.","NS","xyz.","ns2.dnsowl.com."
1719096646,1727131961,,,93,"house-server-digital.xyz.","NS","xyz.","ns3.dnsowl.com."
,,1719036690,1719216769,12,"house-server-digital.xyz.","A","house-server-digital.xyz.","135.181.203.1"
,,1719036690,1727139244,218,"house-server-digital.xyz.","NS","xyz.","ns1.dnsowl.com."
,,1719036690,1727139244,218,"house-server-digital.xyz.","NS","xyz.","ns2.dnsowl.com."
,,1719036690,1727139244,218,"house-server-digital.xyz.","NS","xyz.","ns3.dnsowl.com."
,,1719036690,1726966095,28,"house-server-digital.xyz.","NS","house-server-digital.xyz.","ns1.dnsowl.com."
,,1719036690,1726966095,28,"house-server-digital.xyz.","NS","house-server-digital.xyz.","ns2.dnsowl.com."
,,1719036690,1726966095,28,"house-server-digital.xyz.","NS","house-server-digital.xyz.","ns3.dnsowl.com."
,,1719036690,1719036690,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719036406 7200 1800 1209600 600"
,,1719191019,1719191019,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719190913 7200 1800 1209600 600"
,,1719234778,1719234778,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719234715 7200 1800 1209600 600"
,,1719250380,1719250380,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719250305 7200 1800 1209600 600"
,,1719314479,1719314479,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719314205 7200 1800 1209600 600"
,,1719316097,1719316097,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719316018 7200 1800 1209600 600"
,,1719317921,1719317921,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719317806 7200 1800 1209600 600"
,,1719342173,1719342173,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719342111 7200 1800 1209600 600"
,,1719374657,1719374657,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719374527 7200 1800 1209600 600"
,,1719416498,1719416498,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719416206 7200 1800 1209600 600"
,,1719486835,1719486835,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719486712 7200 1800 1209600 600"
,,1719501772,1719501772,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719501405 7200 1800 1209600 600"
,,1719624049,1719624049,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719623806 7200 1800 1209600 600"
,,1719805144,1719805144,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719805014 7200 1800 1209600 600"
,,1720000517,1720000517,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720000305 7200 1800 1209600 600"
,,1720102508,1720102508,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720102314 7200 1800 1209600 600"
,,1720158247,1720158247,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720158109 7200 1800 1209600 600"
,,1720446874,1720446874,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720446713 7200 1800 1209600 600"
,,1720504952,1720504952,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720504609 7200 1800 1209600 600"
,,1720740473,1720740473,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720740104 7200 1800 1209600 600"
,,1721037353,1721037353,52,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721037108 7200 1800 1209600 600"
,,1721316639,1721316639,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721316407 7200 1800 1209600 600"
,,1721426243,1721426243,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721425905 7200 1800 1209600 600"
,,1721487503,1721487503,4,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721487415 7200 1800 1209600 600"
,,1721560155,1721560155,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721560009 7200 1800 1209600 600"
,,1721647909,1721647909,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721647610 7200 1800 1209600 600"
,,1721675531,1721675531,11,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721675225 7200 1800 1209600 600"
,,1721707992,1721707992,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721707912 7200 1800 1209600 600"
,,1721708273,1721708273,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721708209 7200 1800 1209600 600"
,,1721757184,1721757184,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721757107 7200 1800 1209600 600"
,,1721784552,1721784552,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721784409 7200 1800 1209600 600"
,,1721874213,1721874213,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721874116 7200 1800 1209600 600"
,,1721876008,1721876008,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721875908 7200 1800 1209600 600"
,,1721991442,1721991449,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1721991108 7200 1800 1209600 600"
,,1722070386,1722070386,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722070312 7200 1800 1209600 600"
,,1722179727,1722179727,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722179509 7200 1800 1209600 600"
,,1722262346,1722262346,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722262310 7200 1800 1209600 600"
,,1722350162,1722350162,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722349913 7200 1800 1209600 600"
,,1722421697,1722421697,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722421610 7200 1800 1209600 600"
,,1722500738,1722500738,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722500509 7200 1800 1209600 600"
,,1722777886,1722777886,13,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722777711 7200 1800 1209600 600"
,,1722960879,1722960879,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1722960710 7200 1800 1209600 600"
,,1723124165,1723124165,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723123911 7200 1800 1209600 600"
,,1723131269,1723131269,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723131115 7200 1800 1209600 600"
,,1723184303,1723184303,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723184207 7200 1800 1209600 600"
,,1723216192,1723216192,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723216008 7200 1800 1209600 600"
,,1723237509,1723237509,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723237321 7200 1800 1209600 600"
,,1723242100,1723242100,4,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723241811 7200 1800 1209600 600"
,,1723328210,1723328210,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723327917 7200 1800 1209600 600"
,,1723379100,1723379100,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723378910 7200 1800 1209600 600"
,,1723627968,1723627968,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723627906 7200 1800 1209600 600"
,,1723770942,1723770942,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723770707 7200 1800 1209600 600"
,,1723811877,1723811877,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723811810 7200 1800 1209600 600"
,,1723831601,1723831601,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723831317 7200 1800 1209600 600"
,,1723843569,1723843569,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723843310 7200 1800 1209600 600"
,,1723897800,1723897800,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723897608 7200 1800 1209600 600"
,,1723912399,1723912399,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1723912306 7200 1800 1209600 600"
,,1724077850,1724077850,1,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724077607 7200 1800 1209600 600"
,,1724157162,1724157162,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724156810 7200 1800 1209600 600"
,,1724168898,1724168898,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724168823 7200 1800 1209600 600"
,,1724183923,1724183923,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724183805 7200 1800 1209600 600"
,,1724286083,1724286083,2,"house-server-digital.xyz.","SOA","house-server-digital.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724285809 7200 1800 1209600 600"
