zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1717718573,1718496359,,,10,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns1.dnsowl.com."
1717718573,1718496359,,,10,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns2.dnsowl.com."
1717718573,1718496359,,,10,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns3.dnsowl.com."
,,1717653089,1718377851,28,"interconnected-equipment-buildings.buzz.","A","interconnected-equipment-buildings.buzz.","135.181.203.1"
,,1717653089,1718441142,37,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns1.dnsowl.com."
,,1717653089,1718441142,37,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns2.dnsowl.com."
,,1717653089,1718441142,37,"interconnected-equipment-buildings.buzz.","NS","buzz.","ns3.dnsowl.com."
,,1717653089,1718377851,30,"interconnected-equipment-buildings.buzz.","NS","interconnected-equipment-buildings.buzz.","ns1.dnsowl.com."
,,1717653089,1718377851,30,"interconnected-equipment-buildings.buzz.","NS","interconnected-equipment-buildings.buzz.","ns2.dnsowl.com."
,,1717653089,1718377851,30,"interconnected-equipment-buildings.buzz.","NS","interconnected-equipment-buildings.buzz.","ns3.dnsowl.com."
,,1717653089,1717653089,1,"interconnected-equipment-buildings.buzz.","SOA","interconnected-equipment-buildings.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1717652808 7200 1800 1209600 600"
,,1718436542,1718436542,2,"interconnected-equipment-buildings.buzz.","SOA","interconnected-equipment-buildings.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1718436409 7200 1800 1209600 600"
,,1718441142,1718441142,2,"interconnected-equipment-buildings.buzz.","SOA","interconnected-equipment-buildings.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1718440908 7200 1800 1209600 600"
