zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1719269546,1722811372,,,42,"request-human-received.xyz.","NS","xyz.","ns1.dnsowl.com."
1719269546,1722811372,,,42,"request-human-received.xyz.","NS","xyz.","ns2.dnsowl.com."
1719269546,1722811372,,,42,"request-human-received.xyz.","NS","xyz.","ns3.dnsowl.com."
,,1719233935,1719799690,15,"request-human-received.xyz.","A","request-human-received.xyz.","135.181.203.1"
,,1719233935,1722847165,102,"request-human-received.xyz.","NS","xyz.","ns1.dnsowl.com."
,,1719233935,1722847165,102,"request-human-received.xyz.","NS","xyz.","ns2.dnsowl.com."
,,1719233935,1722847165,102,"request-human-received.xyz.","NS","xyz.","ns3.dnsowl.com."
,,1719233935,1722053876,21,"request-human-received.xyz.","NS","request-human-received.xyz.","ns1.dnsowl.com."
,,1719233935,1722053876,21,"request-human-received.xyz.","NS","request-human-received.xyz.","ns2.dnsowl.com."
,,1719233935,1722053876,21,"request-human-received.xyz.","NS","request-human-received.xyz.","ns3.dnsowl.com."
,,1719233935,1719233935,2,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719233805 7200 1800 1209600 600"
,,1719365498,1719365498,2,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719365211 7200 1800 1209600 600"
,,1719898000,1719898000,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719897704 7200 1800 1209600 600"
,,1719945872,1719945872,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1719945709 7200 1800 1209600 600"
,,1720079269,1720079269,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720078908 7200 1800 1209600 600"
,,1720082580,1720082580,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720082511 7200 1800 1209600 600"
,,1720283107,1720283107,2,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720282911 7200 1800 1209600 600"
,,1720332167,1720332167,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720332110 7200 1800 1209600 600"
,,1720400717,1720400717,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720400517 7200 1800 1209600 600"
,,1720668414,1720668414,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720668108 7200 1800 1209600 600"
,,1720722188,1720722188,2,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720722109 7200 1800 1209600 600"
,,1720891314,1720891314,1,"request-human-received.xyz.","SOA","request-human-received.xyz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1720891011 7200 1800 1209600 600"
