zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1724976144,1725494655,,,7,"software-selection-features.buzz.","NS","buzz.","ns1.dnsowl.com."
1724976144,1725494655,,,7,"software-selection-features.buzz.","NS","buzz.","ns2.dnsowl.com."
1724976144,1725494655,,,7,"software-selection-features.buzz.","NS","buzz.","ns3.dnsowl.com."
,,1724915753,1725536475,12,"software-selection-features.buzz.","A","software-selection-features.buzz.","135.181.203.1"
,,1724915753,1725536475,16,"software-selection-features.buzz.","NS","buzz.","ns1.dnsowl.com."
,,1724915753,1725536475,16,"software-selection-features.buzz.","NS","buzz.","ns2.dnsowl.com."
,,1724915753,1725536475,16,"software-selection-features.buzz.","NS","buzz.","ns3.dnsowl.com."
,,1724915753,1725536475,12,"software-selection-features.buzz.","NS","software-selection-features.buzz.","ns1.dnsowl.com."
,,1724915753,1725536475,12,"software-selection-features.buzz.","NS","software-selection-features.buzz.","ns2.dnsowl.com."
,,1724915753,1725536475,12,"software-selection-features.buzz.","NS","software-selection-features.buzz.","ns3.dnsowl.com."
,,1724915757,1724915757,2,"software-selection-features.buzz.","SOA","software-selection-features.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724915511 7200 1800 1209600 600"
,,1724936418,1724936418,1,"software-selection-features.buzz.","SOA","software-selection-features.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1724936209 7200 1800 1209600 600"
,,1725138457,1725138457,2,"software-selection-features.buzz.","SOA","software-selection-features.buzz.","ns1.dnsowl.com. hostmaster.dnsowl.com. 1725138112 7200 1800 1209600 600"
