zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1706400904,1720742292,,,166,"aftermath.finance.","NS","finance.","mike.ns.cloudflare.com."
1706400904,1720742292,,,166,"aftermath.finance.","NS","finance.","jacqueline.ns.cloudflare.com."
,,1715362651,1720765348,7844,"aftermath.finance.","A","aftermath.finance.","104.26.6.96"
,,1715362651,1720765348,7844,"aftermath.finance.","A","aftermath.finance.","104.26.7.96"
,,1715362651,1720765348,7844,"aftermath.finance.","A","aftermath.finance.","172.67.72.75"
,,1715364444,1720789010,24711,"aftermath.finance.","A","aftermath.finance.","188.114.98.229"
,,1715364444,1720789010,24711,"aftermath.finance.","A","aftermath.finance.","188.114.99.229"
,,1706382315,1720751058,103242,"aftermath.finance.","NS","finance.","mike.ns.cloudflare.com."
,,1706382315,1720751058,103242,"aftermath.finance.","NS","finance.","jacqueline.ns.cloudflare.com."
,,1706725860,1720545613,90,"aftermath.finance.","NS","aftermath.finance.","mike.ns.cloudflare.com."
,,1706725860,1720545613,90,"aftermath.finance.","NS","aftermath.finance.","jacqueline.ns.cloudflare.com."
,,1719348777,1720774349,1952,"aftermath.finance.","SOA","aftermath.finance.","jacqueline.ns.cloudflare.com. dns.cloudflare.com. 2344834080 10000 2400 604800 1800"
,,1673976753,1720055522,72,"aftermath.finance.","MX","aftermath.finance.","1 aspmx.l.google.com."
,,1673976753,1720055522,72,"aftermath.finance.","MX","aftermath.finance.","5 alt1.aspmx.l.google.com."
,,1673976753,1720055522,72,"aftermath.finance.","MX","aftermath.finance.","5 alt2.aspmx.l.google.com."
,,1673976753,1720055522,72,"aftermath.finance.","MX","aftermath.finance.","10 alt3.aspmx.l.google.com."
,,1673976753,1720055522,72,"aftermath.finance.","MX","aftermath.finance.","10 alt4.aspmx.l.google.com."
,,1715362676,1720755963,4052,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::681a:660"
,,1715362676,1720755963,4052,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::681a:760"
,,1715362676,1720755963,4052,"aftermath.finance.","AAAA","aftermath.finance.","2606:4700:20::ac43:484b"
,,1715365425,1720771653,1659,"aftermath.finance.","AAAA","aftermath.finance.","2a06:98c1:3122:e000::5"
,,1715365425,1720771653,1659,"aftermath.finance.","AAAA","aftermath.finance.","2a06:98c1:3123:e000::5"
,,1715365425,1720784850,5520,"aftermath.finance.","HTTPS","aftermath.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,1715362651,1720765348,5865,"aftermath.finance.","HTTPS","aftermath.finance.","1 . alpn=\"h2\" ipv4hint=104.26.6.96,104.26.7.96,172.67.72.75 ipv6hint=2606:4700:20::681a:660,2606:4700:20::681a:760,2606:4700:20::ac43:484b"
