zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1691625962,1720742292,,,337,"amnis.finance.","NS","finance.","dorthy.ns.cloudflare.com."
1691625962,1720742292,,,337,"amnis.finance.","NS","finance.","razvan.ns.cloudflare.com."
,,1690979465,1720749049,10403,"amnis.finance.","A","amnis.finance.","104.21.84.101"
,,1690979465,1720749049,10403,"amnis.finance.","A","amnis.finance.","172.67.191.14"
,,1691557696,1720765495,89500,"amnis.finance.","NS","finance.","dorthy.ns.cloudflare.com."
,,1691557696,1720765495,89500,"amnis.finance.","NS","finance.","razvan.ns.cloudflare.com."
,,1691645881,1720745715,188,"amnis.finance.","NS","amnis.finance.","dorthy.ns.cloudflare.com."
,,1691645881,1720745715,188,"amnis.finance.","NS","amnis.finance.","razvan.ns.cloudflare.com."
,,1719699365,1719853437,7,"amnis.finance.","SOA","amnis.finance.","dorthy.ns.cloudflare.com. dns.cloudflare.com. 2345053294 10000 2400 604800 1800"
,,1720277892,1720733289,15,"amnis.finance.","SOA","amnis.finance.","dorthy.ns.cloudflare.com. dns.cloudflare.com. 2345401647 10000 2400 604800 1800"
,,1692043133,1720779680,1721,"amnis.finance.","AAAA","amnis.finance.","2606:4700:3033::ac43:bf0e"
,,1692043133,1720779680,1721,"amnis.finance.","AAAA","amnis.finance.","2606:4700:3034::6815:5465"
,,1692775957,1720778552,3365,"amnis.finance.","HTTPS","amnis.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.84.101,172.67.191.14 ipv6hint=2606:4700:3033::ac43:bf0e,2606:4700:3034::6815:5465"
