zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1654560837,1720742292,,,762,"antfarm.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
1654560837,1720742292,,,762,"antfarm.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
1654560837,1720742292,,,762,"antfarm.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
1654560837,1720742292,,,762,"antfarm.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1672832205,1720791695,42174,"antfarm.finance.","A","antfarm.finance.","80.65.211.78"
,,1654691263,1720791694,28208,"antfarm.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,1654691263,1720791694,28208,"antfarm.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,1654691263,1720791694,28208,"antfarm.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,1654691263,1720791694,28208,"antfarm.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1655641974,1720226808,229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a1.googledomains.com."
,,1655641974,1720226808,229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a2.googledomains.com."
,,1655641974,1720226808,229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a3.googledomains.com."
,,1655641974,1720226808,229,"antfarm.finance.","NS","antfarm.finance.","ns-cloud-a4.googledomains.com."
,,1717772797,1720791699,272,"antfarm.finance.","SOA","antfarm.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 31 21600 3600 259200 300"
,,1703054241,1720361913,45,"antfarm.finance.","TXT","antfarm.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,1703054241,1720361913,45,"antfarm.finance.","TXT","antfarm.finance.","\"google-site-verification=46BQPEymD-MDNy8uEmBYBjmR-fwkJtz1HYWeTSNdF1g\""
,,1703054241,1720361913,45,"antfarm.finance.","TXT","antfarm.finance.","\"wallet-connect-dns-verification=add280f80c3b2258759e31d90bd6ec1e52710b2a425e7b064eca9efc62cedcee\""
