zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1660171821,1720738220,,,635,"archimedesfi.com.","NS","com.","dns1.p02.nsone.net."
1660171821,1720738220,,,635,"archimedesfi.com.","NS","com.","dns2.p02.nsone.net."
1660171821,1720738220,,,635,"archimedesfi.com.","NS","com.","dns3.p02.nsone.net."
1660171821,1720738220,,,635,"archimedesfi.com.","NS","com.","dns4.p02.nsone.net."
,,1700146540,1720054050,19,"archimedesfi.com.","A","archimedesfi.com.","3.79.76.132"
,,1700146540,1720054050,19,"archimedesfi.com.","A","archimedesfi.com.","3.121.122.184"
,,1699973726,1720735626,194,"archimedesfi.com.","A","archimedesfi.com.","13.50.29.134"
,,1699973726,1720735626,194,"archimedesfi.com.","A","archimedesfi.com.","16.170.147.194"
,,1700083107,1720663153,170,"archimedesfi.com.","A","archimedesfi.com.","13.50.29.134"
,,1700083107,1720663153,170,"archimedesfi.com.","A","archimedesfi.com.","51.20.17.59"
,,1700137159,1720676431,159,"archimedesfi.com.","A","archimedesfi.com.","16.170.147.194"
,,1700137159,1720676431,159,"archimedesfi.com.","A","archimedesfi.com.","51.20.17.59"
,,1700162169,1720432418,26,"archimedesfi.com.","A","archimedesfi.com.","54.67.4.46"
,,1700162169,1720432418,26,"archimedesfi.com.","A","archimedesfi.com.","54.177.145.149"
,,1660168819,1720735626,30903,"archimedesfi.com.","NS","com.","dns1.p02.nsone.net."
,,1660168819,1720735626,30903,"archimedesfi.com.","NS","com.","dns2.p02.nsone.net."
,,1660168819,1720735626,30903,"archimedesfi.com.","NS","com.","dns3.p02.nsone.net."
,,1660168819,1720735626,30903,"archimedesfi.com.","NS","com.","dns4.p02.nsone.net."
,,1660185848,1720338846,777,"archimedesfi.com.","NS","archimedesfi.com.","dns1.p02.nsone.net."
,,1660185848,1720338846,777,"archimedesfi.com.","NS","archimedesfi.com.","dns2.p02.nsone.net."
,,1660185848,1720338846,777,"archimedesfi.com.","NS","archimedesfi.com.","dns3.p02.nsone.net."
,,1660185848,1720338846,777,"archimedesfi.com.","NS","archimedesfi.com.","dns4.p02.nsone.net."
,,1662570473,1720735634,1080996,"archimedesfi.com.","SOA","archimedesfi.com.","dns1.p02.nsone.net. domains+netlify.netlify.com. 1662487653 43200 7200 1209600 3600"
,,1642318272,1720572841,207,"archimedesfi.com.","MX","archimedesfi.com.","1 aspmx.l.google.com."
,,1642318272,1720572841,207,"archimedesfi.com.","MX","archimedesfi.com.","5 alt1.aspmx.l.google.com."
,,1642318272,1720572841,207,"archimedesfi.com.","MX","archimedesfi.com.","5 alt2.aspmx.l.google.com."
,,1642318272,1720572841,207,"archimedesfi.com.","MX","archimedesfi.com.","10 alt3.aspmx.l.google.com."
,,1642318272,1720572841,207,"archimedesfi.com.","MX","archimedesfi.com.","10 alt4.aspmx.l.google.com."
