zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1658181909,1720738701,,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
1658181909,1720738701,,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
1658181909,1720738701,,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
1658181909,1720738701,,,723,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,1658467028,1720731195,4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.108.153"
,,1658467028,1720731195,4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.109.153"
,,1658467028,1720731195,4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.110.153"
,,1658467028,1720731195,4512,"ariesmarkets.xyz.","A","ariesmarkets.xyz.","185.199.111.153"
,,1658313937,1720769966,292160,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d1.googledomains.com."
,,1658313937,1720769966,292160,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d2.googledomains.com."
,,1658313937,1720769966,292160,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d3.googledomains.com."
,,1658313937,1720769966,292160,"ariesmarkets.xyz.","NS","xyz.","ns-cloud-d4.googledomains.com."
,,1710835825,1719931276,1303,"ariesmarkets.xyz.","SOA","ariesmarkets.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 35 21600 3600 259200 300"
,,1720027505,1720740729,89,"ariesmarkets.xyz.","SOA","ariesmarkets.xyz.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 36 21600 3600 259200 300"
