zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1663632758,1720742920,,,661,"aux.exchange.","NS","exchange.","ns-cloud-d1.googledomains.com."
1663632758,1720742920,,,661,"aux.exchange.","NS","exchange.","ns-cloud-d2.googledomains.com."
1663632758,1720742920,,,661,"aux.exchange.","NS","exchange.","ns-cloud-d3.googledomains.com."
1663632758,1720742920,,,661,"aux.exchange.","NS","exchange.","ns-cloud-d4.googledomains.com."
,,1678151297,1720599551,1025,"aux.exchange.","A","aux.exchange.","199.36.158.100"
,,1663673154,1720768452,11990,"aux.exchange.","NS","exchange.","ns-cloud-d1.googledomains.com."
,,1663673154,1720768452,11990,"aux.exchange.","NS","exchange.","ns-cloud-d2.googledomains.com."
,,1663673154,1720768452,11990,"aux.exchange.","NS","exchange.","ns-cloud-d3.googledomains.com."
,,1663673154,1720768452,11990,"aux.exchange.","NS","exchange.","ns-cloud-d4.googledomains.com."
,,1716410384,1720768452,280,"aux.exchange.","SOA","aux.exchange.","ns-cloud-d1.googledomains.com. cloud-dns-hostmaster.google.com. 24 21600 3600 259200 300"
,,1666590411,1720356704,86,"aux.exchange.","MX","aux.exchange.","1 aspmx.l.google.com."
,,1666590411,1720356704,86,"aux.exchange.","MX","aux.exchange.","5 alt1.aspmx.l.google.com."
,,1666590411,1720356704,86,"aux.exchange.","MX","aux.exchange.","5 alt2.aspmx.l.google.com."
,,1666590411,1720356704,86,"aux.exchange.","MX","aux.exchange.","10 alt3.aspmx.l.google.com."
,,1666590411,1720356704,86,"aux.exchange.","MX","aux.exchange.","10 alt4.aspmx.l.google.com."
