zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1636419256,1720743021,,,954,"axelar.network.","NS","network.","elle.ns.cloudflare.com."
1636419256,1720743021,,,954,"axelar.network.","NS","network.","frank.ns.cloudflare.com."
,,1680833726,1720779161,7183,"axelar.network.","A","axelar.network.","104.18.18.49"
,,1680833726,1720779161,7183,"axelar.network.","A","axelar.network.","104.18.19.49"
,,1675706548,1720773528,5182,"axelar.network.","A","axelar.network.","188.114.98.229"
,,1675706548,1720773528,5182,"axelar.network.","A","axelar.network.","188.114.99.229"
,,1636402735,1720742906,145206,"axelar.network.","NS","network.","elle.ns.cloudflare.com."
,,1636402735,1720742906,145206,"axelar.network.","NS","network.","frank.ns.cloudflare.com."
,,1637236376,1720466044,649,"axelar.network.","NS","axelar.network.","elle.ns.cloudflare.com."
,,1637236376,1720466044,649,"axelar.network.","NS","axelar.network.","frank.ns.cloudflare.com."
,,1719138981,1719797783,25,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2344516911 10000 2400 604800 1800"
,,1720310123,1720310123,2,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2345724292 10000 2400 604800 1800"
,,1720403361,1720709519,6,"axelar.network.","SOA","axelar.network.","elle.ns.cloudflare.com. dns.cloudflare.com. 2345864918 10000 2400 604800 1800"
,,1680833726,1720776188,4326,"axelar.network.","AAAA","axelar.network.","2606:4700::6812:1231"
,,1680833726,1720776188,4326,"axelar.network.","AAAA","axelar.network.","2606:4700::6812:1331"
,,1678624988,1720714717,1906,"axelar.network.","AAAA","axelar.network.","2a06:98c1:3122:e000::5"
,,1678624988,1720714717,1906,"axelar.network.","AAAA","axelar.network.","2a06:98c1:3123:e000::5"
,,1710177089,1720740344,1156,"axelar.network.","HTTPS","axelar.network.","1 . alpn=\"h3,h2\" ipv4hint=104.18.18.49,104.18.19.49 ipv6hint=2606:4700::6812:1231,2606:4700::6812:1331"
,,1710172216,1720714717,706,"axelar.network.","HTTPS","axelar.network.","1 . alpn=\"h3,h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
