zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1711493291,1720738701,,,107,"bitcow.xyz.","NS","xyz.","pat.ns.cloudflare.com."
1711493291,1720738701,,,107,"bitcow.xyz.","NS","xyz.","harley.ns.cloudflare.com."
,,1711434520,1720726182,24048,"bitcow.xyz.","A","bitcow.xyz.","104.21.2.65"
,,1711434520,1720726182,24048,"bitcow.xyz.","A","bitcow.xyz.","172.67.128.216"
,,1715048591,1720394365,2,"bitcow.xyz.","A","bitcow.xyz.","172.64.80.1"
,,1711434520,1720726395,32687,"bitcow.xyz.","NS","xyz.","pat.ns.cloudflare.com."
,,1711434520,1720726395,32687,"bitcow.xyz.","NS","xyz.","harley.ns.cloudflare.com."
,,1711434648,1720595623,22,"bitcow.xyz.","NS","bitcow.xyz.","pat.ns.cloudflare.com."
,,1711434648,1720595623,22,"bitcow.xyz.","NS","bitcow.xyz.","harley.ns.cloudflare.com."
,,1720577389,1720577389,2,"bitcow.xyz.","SOA","bitcow.xyz.","harley.ns.cloudflare.com. dns.cloudflare.com. 2342893592 10000 2400 604800 1800"
,,1711434520,1720766044,3826,"bitcow.xyz.","AAAA","bitcow.xyz.","2606:4700:3033::ac43:80d8"
,,1711434520,1720766044,3826,"bitcow.xyz.","AAAA","bitcow.xyz.","2606:4700:3036::6815:241"
,,1712490703,1720749255,8027,"bitcow.xyz.","HTTPS","bitcow.xyz.","1 . alpn=\"h3,h2\" ipv4hint=104.21.2.65,172.67.128.216 ipv6hint=2606:4700:3033::ac43:80d8,2606:4700:3036::6815:241"
