zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1565310710,1720743021,,,1317,"celer.network.","NS","network.","ns-cloud-e1.googledomains.com."
1565310710,1720743021,,,1317,"celer.network.","NS","network.","ns-cloud-e2.googledomains.com."
1565310710,1720743021,,,1317,"celer.network.","NS","network.","ns-cloud-e3.googledomains.com."
1565310710,1720743021,,,1317,"celer.network.","NS","network.","ns-cloud-e4.googledomains.com."
,,1676431686,1720752508,20406,"celer.network.","A","celer.network.","75.2.60.5"
,,1720696083,1720696083,2,"celer.network.","A","celer.network.","185.196.9.153"
,,1720689987,1720694561,32,"celer.network.","NS","network.","megan.ns.cloudflare.com."
,,1720689987,1720694561,32,"celer.network.","NS","network.","scott.ns.cloudflare.com."
,,1517045956,1720755890,2221872,"celer.network.","NS","network.","ns-cloud-e1.googledomains.com."
,,1517045956,1720755890,2221872,"celer.network.","NS","network.","ns-cloud-e2.googledomains.com."
,,1517045956,1720755890,2221872,"celer.network.","NS","network.","ns-cloud-e3.googledomains.com."
,,1517045956,1720755890,2221872,"celer.network.","NS","network.","ns-cloud-e4.googledomains.com."
,,1517399454,1720779030,6864,"celer.network.","NS","celer.network.","ns-cloud-e1.googledomains.com."
,,1517399454,1720779030,6864,"celer.network.","NS","celer.network.","ns-cloud-e2.googledomains.com."
,,1517399454,1720779030,6864,"celer.network.","NS","celer.network.","ns-cloud-e3.googledomains.com."
,,1517399454,1720779030,6864,"celer.network.","NS","celer.network.","ns-cloud-e4.googledomains.com."
,,1720689988,1720694561,344,"celer.network.","SOA","celer.network.","megan.ns.cloudflare.com. dns.cloudflare.com. 2346174817 10000 2400 604800 1800"
,,1716513989,1720748147,266639,"celer.network.","SOA","celer.network.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 161 21600 3600 259200 300"
,,1520138838,1720743316,2486,"celer.network.","MX","celer.network.","1 aspmx.l.google.com."
,,1520138838,1720743316,2486,"celer.network.","MX","celer.network.","5 alt1.aspmx.l.google.com."
,,1520138838,1720743316,2486,"celer.network.","MX","celer.network.","5 alt2.aspmx.l.google.com."
,,1520138838,1720743316,2486,"celer.network.","MX","celer.network.","10 alt3.aspmx.l.google.com."
,,1520138838,1720743316,2486,"celer.network.","MX","celer.network.","10 alt4.aspmx.l.google.com."
