zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1689897935,1720742292,,,357,"cellana.finance.","NS","finance.","ivan.ns.cloudflare.com."
1689897935,1720742292,,,357,"cellana.finance.","NS","finance.","reza.ns.cloudflare.com."
,,1689857295,1720760015,5645,"cellana.finance.","A","cellana.finance.","104.21.73.124"
,,1689857295,1720760015,5645,"cellana.finance.","A","cellana.finance.","172.67.190.7"
,,1700101853,1720749013,97,"cellana.finance.","A","cellana.finance.","188.114.96.0"
,,1700101853,1720749013,97,"cellana.finance.","A","cellana.finance.","188.114.97.0"
,,1689852903,1720753272,348257,"cellana.finance.","NS","finance.","ivan.ns.cloudflare.com."
,,1689852903,1720753272,348257,"cellana.finance.","NS","finance.","reza.ns.cloudflare.com."
,,1689852903,1720746554,367,"cellana.finance.","NS","cellana.finance.","ivan.ns.cloudflare.com."
,,1689852903,1720746554,367,"cellana.finance.","NS","cellana.finance.","reza.ns.cloudflare.com."
,,1719478522,1719883439,17,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2344958630 10000 2400 604800 1800"
,,1719980771,1720079835,11,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345465703 10000 2400 604800 1800"
,,1720252288,1720431090,6,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345709300 10000 2400 604800 1800"
,,1720435782,1720435782,1,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345921163 10000 2400 604800 1800"
,,1720461331,1720522168,5,"cellana.finance.","SOA","cellana.finance.","ivan.ns.cloudflare.com. dns.cloudflare.com. 2345946913 10000 2400 604800 1800"
,,1707707047,1720389628,18,"cellana.finance.","MX","cellana.finance.","1 aspmx.l.google.com."
,,1707707047,1720389628,18,"cellana.finance.","MX","cellana.finance.","5 alt1.aspmx.l.google.com."
,,1707707047,1720389628,18,"cellana.finance.","MX","cellana.finance.","5 alt2.aspmx.l.google.com."
,,1707707047,1720389628,18,"cellana.finance.","MX","cellana.finance.","10 alt3.aspmx.l.google.com."
,,1707707047,1720389628,18,"cellana.finance.","MX","cellana.finance.","10 alt4.aspmx.l.google.com."
,,1690577418,1720730895,1400,"cellana.finance.","AAAA","cellana.finance.","2606:4700:3034::ac43:be07"
,,1690577418,1720730895,1400,"cellana.finance.","AAAA","cellana.finance.","2606:4700:3036::6815:497c"
,,1707618589,1720730895,1950,"cellana.finance.","HTTPS","cellana.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.73.124,172.67.190.7 ipv6hint=2606:4700:3034::ac43:be07,2606:4700:3036::6815:497c"
