zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1720739367,1720739367,,,1,"chainlist.org.","NS","org.","ken.ns.cloudflare.com."
1720739367,1720739367,,,1,"chainlist.org.","NS","org.","davina.ns.cloudflare.com."
1671751006,1720653214,,,566,"chainlist.org.","NS","org.","zeus.ns.cloudflare.com."
1671751006,1720653214,,,566,"chainlist.org.","NS","org.","arushi.ns.cloudflare.com."
,,1720733104,1720733104,1,"chainlist.org.","A","chainlist.org.","65.108.238.34"
,,1720733233,1720733233,1,"chainlist.org.","A","chainlist.org.","104.21.39.14"
,,1720733233,1720733233,1,"chainlist.org.","A","chainlist.org.","172.67.142.29"
,,1671727068,1720733994,113163,"chainlist.org.","A","chainlist.org.","104.26.2.96"
,,1671727068,1720733994,113163,"chainlist.org.","A","chainlist.org.","104.26.3.96"
,,1671727068,1720733994,113163,"chainlist.org.","A","chainlist.org.","172.67.74.179"
,,1682346059,1720092750,40,"chainlist.org.","A","chainlist.org.","188.114.98.229"
,,1682346059,1720092750,40,"chainlist.org.","A","chainlist.org.","188.114.99.229"
,,1714134657,1720567414,31,"chainlist.org.","A","chainlist.org.","188.114.98.235"
,,1714134657,1720567414,31,"chainlist.org.","A","chainlist.org.","188.114.99.235"
,,1720733104,1720733104,1,"chainlist.org.","NS","org.","ken.ns.cloudflare.com."
,,1720733104,1720733104,1,"chainlist.org.","NS","org.","davina.ns.cloudflare.com."
,,1671726518,1720732660,294884,"chainlist.org.","NS","org.","zeus.ns.cloudflare.com."
,,1671726518,1720732660,294884,"chainlist.org.","NS","org.","arushi.ns.cloudflare.com."
,,1674691566,1720606404,54,"chainlist.org.","NS","chainlist.org.","zeus.ns.cloudflare.com."
,,1674691566,1720606404,54,"chainlist.org.","NS","chainlist.org.","arushi.ns.cloudflare.com."
,,1720733104,1720733104,1,"chainlist.org.","SOA","chainlist.org.","davina.ns.cloudflare.com. dns.cloudflare.com. 2346218399 10000 2400 604800 1800"
,,1671727509,1720749460,77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::681a:260"
,,1671727509,1720749460,77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::681a:360"
,,1671727509,1720749460,77828,"chainlist.org.","AAAA","chainlist.org.","2606:4700:20::ac43:4ab3"
,,1720733233,1720733233,1,"chainlist.org.","AAAA","chainlist.org.","2606:4700:3032::ac43:8e1d"
,,1720733233,1720733233,1,"chainlist.org.","AAAA","chainlist.org.","2606:4700:3037::6815:270e"
,,1714134657,1720553934,10,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h2\" ipv4hint=188.114.98.235,188.114.99.235 ipv6hint=2a06:98c1:3122:e000::b,2a06:98c1:3123:e000::b"
,,1720733233,1720733233,1,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.39.14,172.67.142.29 ipv6hint=2606:4700:3032::ac43:8e1d,2606:4700:3037::6815:270e"
,,1671726518,1720738758,79060,"chainlist.org.","HTTPS","chainlist.org.","1 . alpn=\"h2\" ipv4hint=104.26.2.96,104.26.3.96,172.67.74.179 ipv6hint=2606:4700:20::681a:260,2606:4700:20::681a:360,2606:4700:20::ac43:4ab3"
