zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1565309921,1720742292,,,1318,"compound.finance.","NS","finance.","karl.ns.cloudflare.com."
1565309921,1720742292,,,1318,"compound.finance.","NS","finance.","sharon.ns.cloudflare.com."
,,1647278519,1720733781,58707,"compound.finance.","A","compound.finance.","104.18.28.126"
,,1647278519,1720733781,58707,"compound.finance.","A","compound.finance.","104.18.29.126"
,,1720702575,1720730197,397,"compound.finance.","A","compound.finance.","185.196.9.29"
,,1720702575,1720730197,397,"compound.finance.","A","compound.finance.","198.185.159.144"
,,1675695847,1720739209,28646,"compound.finance.","A","compound.finance.","188.114.98.229"
,,1675695847,1720739209,28646,"compound.finance.","A","compound.finance.","188.114.99.229"
,,1720675715,1720701808,159,"compound.finance.","A","compound.finance.","198.185.159.144"
,,1517014467,1720761718,5948261,"compound.finance.","NS","finance.","karl.ns.cloudflare.com."
,,1517014467,1720761718,5948261,"compound.finance.","NS","finance.","sharon.ns.cloudflare.com."
,,1507646936,1720731356,1966,"compound.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,1507646936,1720731356,1966,"compound.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,1507646936,1720731356,1966,"compound.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,1507646936,1720731356,1966,"compound.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1517556337,1720583726,11629,"compound.finance.","NS","compound.finance.","karl.ns.cloudflare.com."
,,1517556337,1720583726,11629,"compound.finance.","NS","compound.finance.","sharon.ns.cloudflare.com."
,,1507646971,1720718125,16,"compound.finance.","NS","compound.finance.","ns-cloud-e1.googledomains.com."
,,1507646971,1720718125,16,"compound.finance.","NS","compound.finance.","ns-cloud-e2.googledomains.com."
,,1507646971,1720718125,16,"compound.finance.","NS","compound.finance.","ns-cloud-e3.googledomains.com."
,,1507646971,1720718125,16,"compound.finance.","NS","compound.finance.","ns-cloud-e4.googledomains.com."
,,1719714828,1720211200,3438,"compound.finance.","SOA","compound.finance.","karl.ns.cloudflare.com. dns.cloudflare.com. 2345198866 10000 2400 604800 1800"
,,1720225309,1720742417,2018,"compound.finance.","SOA","compound.finance.","karl.ns.cloudflare.com. dns.cloudflare.com. 2345698586 10000 2400 604800 1800"
,,1720673695,1720731356,32121,"compound.finance.","SOA","compound.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 7 21600 3600 259200 300"
,,1720703736,1720729968,17,"compound.finance.","MX","compound.finance.","10 mx.zoho.eu."
,,1720703736,1720729968,17,"compound.finance.","MX","compound.finance.","20 mx2.zoho.eu."
,,1720703736,1720729968,17,"compound.finance.","MX","compound.finance.","50 mx3.zoho.eu."
,,1508121670,1720450269,2704,"compound.finance.","MX","compound.finance.","1 aspmx.l.google.com."
,,1508121670,1720450269,2704,"compound.finance.","MX","compound.finance.","5 alt1.aspmx.l.google.com."
,,1508121670,1720450269,2704,"compound.finance.","MX","compound.finance.","5 alt2.aspmx.l.google.com."
,,1508121670,1720450269,2704,"compound.finance.","MX","compound.finance.","10 alt3.aspmx.l.google.com."
,,1508121670,1720450269,2704,"compound.finance.","MX","compound.finance.","10 alt4.aspmx.l.google.com."
,,1720711726,1720711726,1,"compound.finance.","TXT","compound.finance.","\"v=spf1 include:zohomail.eu ~all\""
,,1720711726,1720711726,1,"compound.finance.","TXT","compound.finance.","\"zoho-verification=zb63221561.zmverify.zoho.eu\""
,,1508121670,1720680627,936,"compound.finance.","TXT","compound.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,1647280068,1720731583,34630,"compound.finance.","AAAA","compound.finance.","2606:4700::6812:1c7e"
,,1647280068,1720731583,34630,"compound.finance.","AAAA","compound.finance.","2606:4700::6812:1d7e"
,,1678572382,1720746895,7386,"compound.finance.","AAAA","compound.finance.","2a06:98c1:3122:e000::5"
,,1678572382,1720746895,7386,"compound.finance.","AAAA","compound.finance.","2a06:98c1:3123:e000::5"
,,1684872684,1720775738,12644,"compound.finance.","HTTPS","compound.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.18.28.126,104.18.29.126 ipv6hint=2606:4700::6812:1c7e,2606:4700::6812:1d7e"
,,1684828313,1720746930,6690,"compound.finance.","HTTPS","compound.finance.","1 . alpn=\"h3,h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
