zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1703376460,1720742920,,,201,"d8x.exchange.","NS","exchange.","diva.ns.cloudflare.com."
1703376460,1720742920,,,201,"d8x.exchange.","NS","exchange.","ishaan.ns.cloudflare.com."
,,1703320799,1720760629,808,"d8x.exchange.","A","d8x.exchange.","172.66.44.133"
,,1703320799,1720760629,808,"d8x.exchange.","A","d8x.exchange.","172.66.47.123"
,,1703299270,1720760629,8250,"d8x.exchange.","NS","exchange.","diva.ns.cloudflare.com."
,,1703299270,1720760629,8250,"d8x.exchange.","NS","exchange.","ishaan.ns.cloudflare.com."
,,1703299306,1719845780,42,"d8x.exchange.","NS","d8x.exchange.","diva.ns.cloudflare.com."
,,1703299306,1719845780,42,"d8x.exchange.","NS","d8x.exchange.","ishaan.ns.cloudflare.com."
,,1719799566,1720705442,16,"d8x.exchange.","SOA","d8x.exchange.","diva.ns.cloudflare.com. dns.cloudflare.com. 2345160894 10000 2400 604800 1800"
,,1703320774,1720741854,191,"d8x.exchange.","AAAA","d8x.exchange.","2606:4700:310c::ac42:2c85"
,,1703320774,1720741854,191,"d8x.exchange.","AAAA","d8x.exchange.","2606:4700:310c::ac42:2f7b"
,,1704734587,1720141514,170,"d8x.exchange.","HTTPS","d8x.exchange.","1 . alpn=\"h3,h2\" ipv4hint=172.66.44.133,172.66.47.123 ipv6hint=2606:4700:310c::ac42:2c85,2606:4700:310c::ac42:2f7b"
