zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1692144245,1720742292,,,331,"dirac.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
1692144245,1720742292,,,331,"dirac.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
1692144245,1720742292,,,331,"dirac.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
1692144245,1720742292,,,331,"dirac.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1692989999,1720658868,511,"dirac.finance.","A","dirac.finance.","76.76.21.21"
,,1692175289,1720731220,5141,"dirac.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,1692175289,1720731220,5141,"dirac.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,1692175289,1720731220,5141,"dirac.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,1692175289,1720731220,5141,"dirac.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1692175289,1720658164,67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b1.googledomains.com."
,,1692175289,1720658164,67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b2.googledomains.com."
,,1692175289,1720658164,67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b3.googledomains.com."
,,1692175289,1720658164,67,"dirac.finance.","NS","dirac.finance.","ns-cloud-b4.googledomains.com."
,,1717779197,1720557371,395,"dirac.finance.","SOA","dirac.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 21 21600 3600 259200 300"
