zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1565309567,1720742920,,,1317,"dydx.exchange.","NS","exchange.","kate.ns.cloudflare.com."
1565309567,1720742920,,,1317,"dydx.exchange.","NS","exchange.","pete.ns.cloudflare.com."
,,1614177915,1720718282,228475,"dydx.exchange.","A","dydx.exchange.","76.76.21.21"
,,1720563408,1720571649,32,"dydx.exchange.","A","dydx.exchange.","91.215.43.127"
,,1720561516,1720572172,426,"dydx.exchange.","NS","exchange.","ns1.ddos-guard.net."
,,1720561516,1720572172,426,"dydx.exchange.","NS","exchange.","ns2.ddos-guard.net."
,,1505848493,1720752512,3375756,"dydx.exchange.","NS","exchange.","kate.ns.cloudflare.com."
,,1505848493,1720752512,3375756,"dydx.exchange.","NS","exchange.","pete.ns.cloudflare.com."
,,1720563226,1720571801,9,"dydx.exchange.","NS","dydx.exchange.","ns1.ddos-guard.net."
,,1720563226,1720571801,9,"dydx.exchange.","NS","dydx.exchange.","ns2.ddos-guard.net."
,,1506131174,1720744341,7040,"dydx.exchange.","NS","dydx.exchange.","kate.ns.cloudflare.com."
,,1506131174,1720744341,7040,"dydx.exchange.","NS","dydx.exchange.","pete.ns.cloudflare.com."
,,1720561516,1720563579,967,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720561325 10800 3600 604800 3600"
,,1720563348,1720565482,2082,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720563018 10800 3600 604800 3600"
,,1720565162,1720567306,2928,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720564742 10800 3600 604800 3600"
,,1720566956,1720569151,2491,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720566327 10800 3600 604800 3600"
,,1720568791,1720571025,1939,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720568576 10800 3600 604800 3600"
,,1720568861,1720572766,3223,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720568758 10800 3600 604800 3600"
,,1720572415,1720575561,1475,"dydx.exchange.","SOA","dydx.exchange.","ns1.ddos-guard.net. support.ddos-guard.net. 1720570914 10800 3600 604800 3600"
,,1719343697,1719968261,2430,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2344829338 10000 2400 604800 1800"
,,1719974702,1719974702,1,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2345460398 10000 2400 604800 1800"
,,1719974948,1720778171,8366,"dydx.exchange.","SOA","dydx.exchange.","kate.ns.cloudflare.com. dns.cloudflare.com. 2345460566 10000 2400 604800 1800"
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","10 mxa.mailgun.org."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","10 mxb.mailgun.org."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","1 aspmx.l.google.com."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","5 alt1.aspmx.l.google.com."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","5 alt2.aspmx.l.google.com."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","10 alt3.aspmx.l.google.com."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","10 alt4.aspmx.l.google.com."
,,1718761357,1720651006,77,"dydx.exchange.","MX","dydx.exchange.","15 5y4uquoz3jxha3w6o5yq4oondqvzb5fa6gzx4isnhsfi67cspp6a.mx-verification.google.com."
,,1719358645,1720537506,8,"dydx.exchange.","TXT","dydx.exchange.","\"google-site-verification=JPvDBEjhBxK3pow_d1lB3WH8qtNoCgq4CJUpUvEsemo\""
,,1719358645,1720537506,8,"dydx.exchange.","TXT","dydx.exchange.","\"google-site-verification=hLONgfNm6zX1ycBl1w-MAgY_ywnvQTQe7F6-O2qAMDg\""
,,1719358645,1720537506,8,"dydx.exchange.","TXT","dydx.exchange.","\"v=spf1 include:_spf.google.com include:servers.mcsv.net include:mg-spf.greenhouse.io -all include:mailgun.org ~all\""
