zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1674432120,1720742292,,,369,"evaa.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
1674432120,1720742292,,,369,"evaa.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
1674432120,1720742292,,,369,"evaa.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
1674432120,1720742292,,,369,"evaa.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1679597970,1720740050,6736,"evaa.finance.","A","evaa.finance.","199.36.158.100"
,,1679582674,1720751188,224629,"evaa.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,1679582674,1720751188,224629,"evaa.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,1679582674,1720751188,224629,"evaa.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,1679582674,1720751188,224629,"evaa.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1679616243,1720682623,3168,"evaa.finance.","NS","evaa.finance.","ns-cloud-a1.googledomains.com."
,,1679616243,1720682623,3168,"evaa.finance.","NS","evaa.finance.","ns-cloud-a2.googledomains.com."
,,1679616243,1720682623,3168,"evaa.finance.","NS","evaa.finance.","ns-cloud-a3.googledomains.com."
,,1679616243,1720682623,3168,"evaa.finance.","NS","evaa.finance.","ns-cloud-a4.googledomains.com."
,,1716002256,1720746214,2474701,"evaa.finance.","SOA","evaa.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 16 21600 3600 259200 300"
,,1684006780,1720445245,60,"evaa.finance.","MX","evaa.finance.","1 aspmx.l.google.com."
,,1684006780,1720445245,60,"evaa.finance.","MX","evaa.finance.","5 alt1.aspmx.l.google.com."
,,1684006780,1720445245,60,"evaa.finance.","MX","evaa.finance.","5 alt2.aspmx.l.google.com."
,,1684006780,1720445245,60,"evaa.finance.","MX","evaa.finance.","10 alt3.aspmx.l.google.com."
,,1684006780,1720445245,60,"evaa.finance.","MX","evaa.finance.","10 alt4.aspmx.l.google.com."
