zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1624422185,1720743021,,,1092,"ferrum.network.","NS","network.","ns-cloud-b1.googledomains.com."
1624422185,1720743021,,,1092,"ferrum.network.","NS","network.","ns-cloud-b2.googledomains.com."
1624422185,1720743021,,,1092,"ferrum.network.","NS","network.","ns-cloud-b3.googledomains.com."
1624422185,1720743021,,,1092,"ferrum.network.","NS","network.","ns-cloud-b4.googledomains.com."
,,1688742595,1720730915,4257,"ferrum.network.","A","ferrum.network.","34.174.232.67"
,,1624415890,1720739514,83561,"ferrum.network.","NS","network.","ns-cloud-b1.googledomains.com."
,,1624415890,1720739514,83561,"ferrum.network.","NS","network.","ns-cloud-b2.googledomains.com."
,,1624415890,1720739514,83561,"ferrum.network.","NS","network.","ns-cloud-b3.googledomains.com."
,,1624415890,1720739514,83561,"ferrum.network.","NS","network.","ns-cloud-b4.googledomains.com."
,,1624415890,1720658769,527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b1.googledomains.com."
,,1624415890,1720658769,527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b2.googledomains.com."
,,1624415890,1720658769,527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b3.googledomains.com."
,,1624415890,1720658769,527,"ferrum.network.","NS","ferrum.network.","ns-cloud-b4.googledomains.com."
,,1715888305,1720787368,1176,"ferrum.network.","SOA","ferrum.network.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 76 21600 3600 259200 300"
,,1624278548,1720643457,413,"ferrum.network.","MX","ferrum.network.","1 aspmx.l.google.com."
,,1624278548,1720643457,413,"ferrum.network.","MX","ferrum.network.","5 alt1.aspmx.l.google.com."
,,1624278548,1720643457,413,"ferrum.network.","MX","ferrum.network.","5 alt2.aspmx.l.google.com."
,,1624278548,1720643457,413,"ferrum.network.","MX","ferrum.network.","10 alt3.aspmx.l.google.com."
,,1624278548,1720643457,413,"ferrum.network.","MX","ferrum.network.","10 alt4.aspmx.l.google.com."
,,1663704640,1720738004,51,"ferrum.network.","TXT","ferrum.network.","\"v=spf1 include:_spf.google.com ~all\""
,,1663704640,1720738004,51,"ferrum.network.","TXT","ferrum.network.","\"v=spf1 include:mail.zendesk.com ?all\""
,,1663704640,1720738004,51,"ferrum.network.","TXT","ferrum.network.","\"include:20202371.spf02.hubspotemail.net\""
