zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1590292161,1720743021,,,1145,"flare.network.","NS","network.","zoe.ns.cloudflare.com."
1590292161,1720743021,,,1145,"flare.network.","NS","network.","mike.ns.cloudflare.com."
,,1678202964,1720748833,246900,"flare.network.","A","flare.network.","104.18.2.179"
,,1678202964,1720748833,246900,"flare.network.","A","flare.network.","104.18.3.179"
,,1678573204,1720750662,36589,"flare.network.","A","flare.network.","188.114.98.229"
,,1678573204,1720750662,36589,"flare.network.","A","flare.network.","188.114.99.229"
,,1585771985,1720749106,3098862,"flare.network.","NS","network.","zoe.ns.cloudflare.com."
,,1585771985,1720749106,3098862,"flare.network.","NS","network.","mike.ns.cloudflare.com."
,,1599485521,1720798562,2122,"flare.network.","NS","flare.network.","zoe.ns.cloudflare.com."
,,1599485521,1720798562,2122,"flare.network.","NS","flare.network.","mike.ns.cloudflare.com."
,,1719569113,1719843995,2243,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345053272 10000 2400 604800 1800"
,,1719844821,1719844841,18,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345330401 10000 2400 604800 1800"
,,1719845667,1719846523,34,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345330769 10000 2400 604800 1800"
,,1719846524,1719899560,1138,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345332223 10000 2400 604800 1800"
,,1719906792,1719914086,8,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345391995 10000 2400 604800 1800"
,,1719922320,1719931836,70,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345407468 10000 2400 604800 1800"
,,1719932435,1720002064,1253,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345417699 10000 2400 604800 1800"
,,1720006979,1720006979,1,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345492291 10000 2400 604800 1800"
,,1720009298,1720093414,737,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345494931 10000 2400 604800 1800"
,,1720102716,1720175149,1790,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345584309 10000 2400 604800 1800"
,,1720187515,1720197396,46,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345664358 10000 2400 604800 1800"
,,1720198205,1720198222,18,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345683728 10000 2400 604800 1800"
,,1720198242,1720592920,3364,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2345683924 10000 2400 604800 1800"
,,1720599851,1720599855,6,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2346084460 10000 2400 604800 1800"
,,1720608876,1720745294,1402,"flare.network.","SOA","flare.network.","mike.ns.cloudflare.com. dns.cloudflare.com. 2346088560 10000 2400 604800 1800"
,,1564557761,1720349755,1156,"flare.network.","MX","flare.network.","10 mail.protonmail.ch."
,,1564557761,1720349755,1156,"flare.network.","MX","flare.network.","20 mailsec.protonmail.ch."
,,1719741730,1720406275,2,"flare.network.","TXT","flare.network.","\"protonmail-verification=8687ece66a4857d345394014e907825d00e8b428\""
,,1719741730,1720406275,2,"flare.network.","TXT","flare.network.","\"google-site-verification=bHLOlcoQJmpCcdeqRAur1VodVn5AZOSXnpTXh2q2pEQ\""
,,1719741730,1720406275,2,"flare.network.","TXT","flare.network.","\"atlassian-domain-verification=u2kTFLHlTNdYpZl6TFvgSRkdCa9EzK7SwJ5GSO8AsJYuzglshidVdiWsGykrlmGx\""
,,1719741730,1720406275,2,"flare.network.","TXT","flare.network.","\"v=spf1 include:spf.mailjet.com include:_spf.google.com include:_spf.protonmail.ch include:emaileuc.freshservice.com mx ~all\""
,,1678212945,1720750050,172952,"flare.network.","AAAA","flare.network.","2606:4700::6812:2b3"
,,1678212945,1720750050,172952,"flare.network.","AAAA","flare.network.","2606:4700::6812:3b3"
,,1678584170,1720750662,4808,"flare.network.","AAAA","flare.network.","2a06:98c1:3122:e000::5"
,,1678584170,1720750662,4808,"flare.network.","AAAA","flare.network.","2a06:98c1:3123:e000::5"
,,1678208194,1720787597,19527,"flare.network.","HTTPS","flare.network.","1 . alpn=\"h2\" ipv4hint=104.18.2.179,104.18.3.179 ipv6hint=2606:4700::6812:2b3,2606:4700::6812:3b3"
,,1678634599,1720752200,6150,"flare.network.","HTTPS","flare.network.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
