zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1693613558,1720743017,,,314,"flat.money.","NS","money.","ns-cloud-b1.googledomains.com."
1693613558,1720743017,,,314,"flat.money.","NS","money.","ns-cloud-b2.googledomains.com."
1693613558,1720743017,,,314,"flat.money.","NS","money.","ns-cloud-b3.googledomains.com."
1693613558,1720743017,,,314,"flat.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,1705910532,1720756998,409,"flat.money.","A","flat.money.","76.76.21.21"
,,1693709213,1720715224,2803,"flat.money.","NS","money.","ns-cloud-b1.googledomains.com."
,,1693709213,1720715224,2803,"flat.money.","NS","money.","ns-cloud-b2.googledomains.com."
,,1693709213,1720715224,2803,"flat.money.","NS","money.","ns-cloud-b3.googledomains.com."
,,1693709213,1720715224,2803,"flat.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,1693728188,1719982220,41,"flat.money.","NS","flat.money.","ns-cloud-b1.googledomains.com."
,,1693728188,1719982220,41,"flat.money.","NS","flat.money.","ns-cloud-b2.googledomains.com."
,,1693728188,1719982220,41,"flat.money.","NS","flat.money.","ns-cloud-b3.googledomains.com."
,,1693728188,1719982220,41,"flat.money.","NS","flat.money.","ns-cloud-b4.googledomains.com."
,,1712348472,1719844999,273,"flat.money.","SOA","flat.money.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 19 21600 3600 259200 300"
,,1719883061,1720757121,9,"flat.money.","SOA","flat.money.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 20 21600 3600 259200 300"
,,1704393629,1720089447,11,"flat.money.","MX","flat.money.","1 aspmx.l.google.com."
,,1704393629,1720089447,11,"flat.money.","MX","flat.money.","5 alt1.aspmx.l.google.com."
,,1704393629,1720089447,11,"flat.money.","MX","flat.money.","5 alt2.aspmx.l.google.com."
,,1704393629,1720089447,11,"flat.money.","MX","flat.money.","10 alt3.aspmx.l.google.com."
,,1704393629,1720089447,11,"flat.money.","MX","flat.money.","10 alt4.aspmx.l.google.com."
