zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1637885165,1720742292,,,938,"florence.finance.","NS","finance.","clayton.ns.cloudflare.com."
1637885165,1720742292,,,938,"florence.finance.","NS","finance.","rosalie.ns.cloudflare.com."
,,1718635027,1720714158,121,"florence.finance.","A","florence.finance.","75.2.70.75"
,,1718635027,1720714158,121,"florence.finance.","A","florence.finance.","99.83.190.102"
,,1637878028,1720766844,24539,"florence.finance.","NS","finance.","clayton.ns.cloudflare.com."
,,1637878028,1720766844,24539,"florence.finance.","NS","finance.","rosalie.ns.cloudflare.com."
,,1638546425,1720248840,211,"florence.finance.","NS","florence.finance.","clayton.ns.cloudflare.com."
,,1638546425,1720248840,211,"florence.finance.","NS","florence.finance.","rosalie.ns.cloudflare.com."
,,1719366660,1720113352,87,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2344851670 10000 2400 604800 1800"
,,1720246510,1720246510,3,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2345682583 10000 2400 604800 1800"
,,1720274147,1720698002,80,"florence.finance.","SOA","florence.finance.","clayton.ns.cloudflare.com. dns.cloudflare.com. 2345734414 10000 2400 604800 1800"
,,1631273015,1720353249,145,"florence.finance.","MX","florence.finance.","1 aspmx.l.google.com."
,,1631273015,1720353249,145,"florence.finance.","MX","florence.finance.","5 alt1.aspmx.l.google.com."
,,1631273015,1720353249,145,"florence.finance.","MX","florence.finance.","5 alt2.aspmx.l.google.com."
,,1631273015,1720353249,145,"florence.finance.","MX","florence.finance.","10 alt3.aspmx.l.google.com."
,,1631273015,1720353249,145,"florence.finance.","MX","florence.finance.","10 alt4.aspmx.l.google.com."
