zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621357303,1720613012,,,1122,"foundation.app.","NS","app.","aitana.ns.cloudflare.com."
1621357303,1720613012,,,1122,"foundation.app.","NS","app.","merlin.ns.cloudflare.com."
,,1668456008,1720745476,546389,"foundation.app.","A","foundation.app.","104.19.137.78"
,,1668456008,1720745476,546389,"foundation.app.","A","foundation.app.","104.19.138.78"
,,1668456008,1720745476,546389,"foundation.app.","A","foundation.app.","104.19.139.78"
,,1668456008,1720745476,546389,"foundation.app.","A","foundation.app.","104.19.140.78"
,,1668456008,1720745476,546389,"foundation.app.","A","foundation.app.","104.19.141.78"
,,1610155802,1720779475,3287337,"foundation.app.","NS","app.","aitana.ns.cloudflare.com."
,,1610155802,1720779475,3287337,"foundation.app.","NS","app.","merlin.ns.cloudflare.com."
,,1610611848,1720761701,25892,"foundation.app.","NS","foundation.app.","aitana.ns.cloudflare.com."
,,1610611848,1720761701,25892,"foundation.app.","NS","foundation.app.","merlin.ns.cloudflare.com."
,,1718131933,1720746079,826677,"foundation.app.","SOA","foundation.app.","aitana.ns.cloudflare.com. dns.cloudflare.com. 2343617534 10000 2400 604800 1800"
,,1626962021,1720793270,1834,"foundation.app.","MX","foundation.app.","1 aspmx.l.google.com."
,,1626962021,1720793270,1834,"foundation.app.","MX","foundation.app.","5 alt1.aspmx.l.google.com."
,,1626962021,1720793270,1834,"foundation.app.","MX","foundation.app.","5 alt2.aspmx.l.google.com."
,,1626962021,1720793270,1834,"foundation.app.","MX","foundation.app.","10 alt3.aspmx.l.google.com."
,,1626962021,1720793270,1834,"foundation.app.","MX","foundation.app.","10 alt4.aspmx.l.google.com."
,,1715211314,1720547177,7,"foundation.app.","TXT","foundation.app.","\"rm_verify=40a9f6fafe\""
,,1715211314,1720547177,7,"foundation.app.","TXT","foundation.app.","\"apple-domain-verification=a8Vx4g797R5zTFaE\""
,,1715211314,1720547177,7,"foundation.app.","TXT","foundation.app.","\"google-site-verification=UJZslpKlyx_g7eQX53GV-tSV3s9o7rM1NEfdEDugFk8\""
,,1715211314,1720547177,7,"foundation.app.","TXT","foundation.app.","\"v=spf1 include:_spf.google.com include:mail.zendesk.com include:mg-spf.greenhouse.io -all\""
,,1715211314,1720547177,7,"foundation.app.","TXT","foundation.app.","\"wallet-connect-dns-verification=3590415fce20a3096a480023ba3cbab8d2d62c356ef3a6a9f3d8ec21fa7238ed\""
,,1684752625,1720756331,170534,"foundation.app.","HTTPS","foundation.app.","1 . alpn=\"h3,h2\" ipv4hint=104.19.137.78,104.19.138.78,104.19.139.78,104.19.140.78,104.19.141.78"
