zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621553118,1720740105,,,1126,"fractional.art.","NS","art.","roan.ns.cloudflare.com."
1621553118,1720740105,,,1126,"fractional.art.","NS","art.","shubhi.ns.cloudflare.com."
,,1693570173,1720775094,1248,"fractional.art.","A","fractional.art.","34.120.54.55"
,,1618928381,1720775094,223861,"fractional.art.","NS","art.","roan.ns.cloudflare.com."
,,1618928381,1720775094,223861,"fractional.art.","NS","art.","shubhi.ns.cloudflare.com."
,,1628043308,1720404910,460,"fractional.art.","NS","fractional.art.","roan.ns.cloudflare.com."
,,1628043308,1720404910,460,"fractional.art.","NS","fractional.art.","shubhi.ns.cloudflare.com."
,,1717523311,1720738041,33631,"fractional.art.","SOA","fractional.art.","roan.ns.cloudflare.com. dns.cloudflare.com. 2342983273 10000 2400 604800 1800"
,,1618928382,1720690802,697,"fractional.art.","MX","fractional.art.","1 aspmx.l.google.com."
,,1618928382,1720690802,697,"fractional.art.","MX","fractional.art.","5 alt1.aspmx.l.google.com."
,,1618928382,1720690802,697,"fractional.art.","MX","fractional.art.","5 alt2.aspmx.l.google.com."
,,1618928382,1720690802,697,"fractional.art.","MX","fractional.art.","10 alt3.aspmx.l.google.com."
,,1618928382,1720690802,697,"fractional.art.","MX","fractional.art.","10 alt4.aspmx.l.google.com."
,,1693742412,1720711892,462,"fractional.art.","AAAA","fractional.art.","2600:1901:0:6d85::"
