zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1622665488,1720743017,,,1113,"gyro.money.","NS","money.","ns-cloud-b1.googledomains.com."
1622665488,1720743017,,,1113,"gyro.money.","NS","money.","ns-cloud-b2.googledomains.com."
1622665488,1720743017,,,1113,"gyro.money.","NS","money.","ns-cloud-b3.googledomains.com."
1622665488,1720743017,,,1113,"gyro.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,1624204361,1720769098,8449,"gyro.money.","A","gyro.money.","76.76.21.21"
,,1622686591,1720743802,66298,"gyro.money.","NS","money.","ns-cloud-b1.googledomains.com."
,,1622686591,1720743802,66298,"gyro.money.","NS","money.","ns-cloud-b2.googledomains.com."
,,1622686591,1720743802,66298,"gyro.money.","NS","money.","ns-cloud-b3.googledomains.com."
,,1622686591,1720743802,66298,"gyro.money.","NS","money.","ns-cloud-b4.googledomains.com."
,,1623015312,1720332582,172,"gyro.money.","NS","gyro.money.","ns-cloud-b1.googledomains.com."
,,1623015312,1720332582,172,"gyro.money.","NS","gyro.money.","ns-cloud-b2.googledomains.com."
,,1623015312,1720332582,172,"gyro.money.","NS","gyro.money.","ns-cloud-b3.googledomains.com."
,,1623015312,1720332582,172,"gyro.money.","NS","gyro.money.","ns-cloud-b4.googledomains.com."
,,1717672614,1720610445,37,"gyro.money.","SOA","gyro.money.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 20 21600 3600 259200 300"
,,1635199953,1720481781,103,"gyro.money.","MX","gyro.money.","1 aspmx.l.google.com."
,,1635199953,1720481781,103,"gyro.money.","MX","gyro.money.","5 alt1.aspmx.l.google.com."
,,1635199953,1720481781,103,"gyro.money.","MX","gyro.money.","5 alt2.aspmx.l.google.com."
,,1635199953,1720481781,103,"gyro.money.","MX","gyro.money.","10 alt3.aspmx.l.google.com."
,,1635199953,1720481781,103,"gyro.money.","MX","gyro.money.","10 alt4.aspmx.l.google.com."
