zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1706885008,1720613012,,,157,"herewallet.app.","NS","app.","ned.ns.cloudflare.com."
1706885008,1720613012,,,157,"herewallet.app.","NS","app.","adelaide.ns.cloudflare.com."
,,1707073435,1720741307,309,"herewallet.app.","A","herewallet.app.","104.26.10.35"
,,1707073435,1720741307,309,"herewallet.app.","A","herewallet.app.","104.26.11.35"
,,1707073435,1720741307,309,"herewallet.app.","A","herewallet.app.","172.67.74.111"
,,1707075163,1720794465,3799,"herewallet.app.","A","herewallet.app.","188.114.98.229"
,,1707075163,1720794465,3799,"herewallet.app.","A","herewallet.app.","188.114.99.229"
,,1707071695,1720772624,678166,"herewallet.app.","NS","app.","ned.ns.cloudflare.com."
,,1707071695,1720772624,678166,"herewallet.app.","NS","app.","adelaide.ns.cloudflare.com."
,,1707073043,1720736918,103014,"herewallet.app.","NS","herewallet.app.","ned.ns.cloudflare.com."
,,1707073043,1720736918,103014,"herewallet.app.","NS","herewallet.app.","adelaide.ns.cloudflare.com."
,,1719413586,1720748770,18960,"herewallet.app.","SOA","herewallet.app.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2344899271 10000 2400 604800 1800"
,,1720756045,1720756045,1,"herewallet.app.","SOA","herewallet.app.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346241591 10000 2400 604800 1800"
,,1707084746,1720741307,173,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::681a:a23"
,,1707084746,1720741307,173,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::681a:b23"
,,1707084746,1720741307,173,"herewallet.app.","AAAA","herewallet.app.","2606:4700:20::ac43:4a6f"
,,1707088440,1720408760,247,"herewallet.app.","AAAA","herewallet.app.","2a06:98c1:3122:e000::5"
,,1707088440,1720408760,247,"herewallet.app.","AAAA","herewallet.app.","2a06:98c1:3123:e000::5"
,,1707096622,1720794465,2247,"herewallet.app.","HTTPS","herewallet.app.","1 . ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,1707092302,1720784008,189,"herewallet.app.","HTTPS","herewallet.app.","1 . ipv4hint=104.26.10.35,104.26.11.35,172.67.74.111 ipv6hint=2606:4700:20::681a:a23,2606:4700:20::681a:b23,2606:4700:20::ac43:4a6f"
