zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1640909862,1720742920,,,902,"hop.exchange.","NS","exchange.","sam.ns.cloudflare.com."
1640909862,1720742920,,,902,"hop.exchange.","NS","exchange.","bailey.ns.cloudflare.com."
,,1691040831,1720749020,20356,"hop.exchange.","A","hop.exchange.","104.21.2.167"
,,1691040831,1720749020,20356,"hop.exchange.","A","hop.exchange.","172.67.129.119"
,,1643348026,1720313738,113,"hop.exchange.","A","hop.exchange.","188.114.96.0"
,,1643348026,1720313738,113,"hop.exchange.","A","hop.exchange.","188.114.97.0"
,,1644555321,1720167834,5108,"hop.exchange.","A","hop.exchange.","188.114.96.3"
,,1644555321,1720167834,5108,"hop.exchange.","A","hop.exchange.","188.114.97.3"
,,1654079183,1720791459,576,"hop.exchange.","A","hop.exchange.","188.114.96.4"
,,1654079183,1720791459,576,"hop.exchange.","A","hop.exchange.","188.114.97.4"
,,1643475839,1720465238,605,"hop.exchange.","A","hop.exchange.","188.114.96.8"
,,1643475839,1720465238,605,"hop.exchange.","A","hop.exchange.","188.114.97.8"
,,1640894176,1720774976,1226770,"hop.exchange.","NS","exchange.","sam.ns.cloudflare.com."
,,1640894176,1720774976,1226770,"hop.exchange.","NS","exchange.","bailey.ns.cloudflare.com."
,,1641033772,1720590736,1320,"hop.exchange.","NS","hop.exchange.","sam.ns.cloudflare.com."
,,1641033772,1720590736,1320,"hop.exchange.","NS","hop.exchange.","bailey.ns.cloudflare.com."
,,1719724550,1719854510,1696,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345204419 10000 2400 604800 1800"
,,1719855899,1720104826,310,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345340515 10000 2400 604800 1800"
,,1720115021,1720312743,241,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345599740 10000 2400 604800 1800"
,,1720313430,1720766165,539,"hop.exchange.","SOA","hop.exchange.","bailey.ns.cloudflare.com. dns.cloudflare.com. 2345799098 10000 2400 604800 1800"
,,1691040831,1720774976,8325,"hop.exchange.","AAAA","hop.exchange.","2606:4700:3031::6815:2a7"
,,1691040831,1720774976,8325,"hop.exchange.","AAAA","hop.exchange.","2606:4700:3035::ac43:8177"
,,1653635145,1720457718,4789,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::3"
,,1653635145,1720457718,4789,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::3"
,,1654079183,1720791459,559,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::4"
,,1654079183,1720791459,559,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::4"
,,1643476435,1720562313,587,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3120::8"
,,1643476435,1720562313,587,"hop.exchange.","AAAA","hop.exchange.","2a06:98c1:3121::8"
