zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1681258671,1720742992,,,457,"hover.market.","NS","market.","ns-cloud-a1.googledomains.com."
1681258671,1720742992,,,457,"hover.market.","NS","market.","ns-cloud-a2.googledomains.com."
1681258671,1720742992,,,457,"hover.market.","NS","market.","ns-cloud-a3.googledomains.com."
1681258671,1720742992,,,457,"hover.market.","NS","market.","ns-cloud-a4.googledomains.com."
,,1685009384,1720760855,622,"hover.market.","A","hover.market.","216.239.32.21"
,,1685009384,1720760855,622,"hover.market.","A","hover.market.","216.239.34.21"
,,1685009384,1720760855,622,"hover.market.","A","hover.market.","216.239.36.21"
,,1685009384,1720760855,622,"hover.market.","A","hover.market.","216.239.38.21"
,,1681322518,1720771430,2477,"hover.market.","NS","market.","ns-cloud-a1.googledomains.com."
,,1681322518,1720771430,2477,"hover.market.","NS","market.","ns-cloud-a2.googledomains.com."
,,1681322518,1720771430,2477,"hover.market.","NS","market.","ns-cloud-a3.googledomains.com."
,,1681322518,1720771430,2477,"hover.market.","NS","market.","ns-cloud-a4.googledomains.com."
,,1681322518,1720715998,72,"hover.market.","NS","hover.market.","ns-cloud-a1.googledomains.com."
,,1681322518,1720715998,72,"hover.market.","NS","hover.market.","ns-cloud-a2.googledomains.com."
,,1681322518,1720715998,72,"hover.market.","NS","hover.market.","ns-cloud-a3.googledomains.com."
,,1681322518,1720715998,72,"hover.market.","NS","hover.market.","ns-cloud-a4.googledomains.com."
,,1717270970,1720785824,60,"hover.market.","SOA","hover.market.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 14 21600 3600 259200 300"
,,1685060689,1720450241,11,"hover.market.","TXT","hover.market.","\"v=spf1 include:_spf.google.com ~all\""
,,1685060689,1720450241,11,"hover.market.","TXT","hover.market.","\"google-site-verification=6enxO0hXMwqUTSTB482QuHatb0ayx7pad03wbRhwamQ\""
,,1685012785,1720785781,212,"hover.market.","AAAA","hover.market.","2001:4860:4802:32::15"
,,1685012785,1720785781,212,"hover.market.","AAAA","hover.market.","2001:4860:4802:34::15"
,,1685012785,1720785781,212,"hover.market.","AAAA","hover.market.","2001:4860:4802:36::15"
,,1685012785,1720785781,212,"hover.market.","AAAA","hover.market.","2001:4860:4802:38::15"
