zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1565309921,1720742292,,,1318,"idle.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
1565309921,1720742292,,,1318,"idle.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
1565309921,1720742292,,,1318,"idle.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
1565309921,1720742292,,,1318,"idle.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1562793729,1720795586,67075,"idle.finance.","A","idle.finance.","185.199.108.153"
,,1558695458,1720770545,702158,"idle.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,1558695458,1720770545,702158,"idle.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,1558695458,1720770545,702158,"idle.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,1558695458,1720770545,702158,"idle.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1561992958,1720312481,2846,"idle.finance.","NS","idle.finance.","ns-cloud-c1.googledomains.com."
,,1561992958,1720312481,2846,"idle.finance.","NS","idle.finance.","ns-cloud-c2.googledomains.com."
,,1561992958,1720312481,2846,"idle.finance.","NS","idle.finance.","ns-cloud-c3.googledomains.com."
,,1561992958,1720312481,2846,"idle.finance.","NS","idle.finance.","ns-cloud-c4.googledomains.com."
,,1717546141,1720789274,901,"idle.finance.","SOA","idle.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 94 21600 3600 259200 300"
,,1575608532,1720349925,858,"idle.finance.","MX","idle.finance.","1 aspmx.l.google.com."
,,1575608532,1720349925,858,"idle.finance.","MX","idle.finance.","5 alt1.aspmx.l.google.com."
,,1575608532,1720349925,858,"idle.finance.","MX","idle.finance.","5 alt2.aspmx.l.google.com."
,,1575608532,1720349925,858,"idle.finance.","MX","idle.finance.","10 alt3.aspmx.l.google.com."
,,1575608532,1720349925,858,"idle.finance.","MX","idle.finance.","10 alt4.aspmx.l.google.com."
,,1688532361,1719944865,29,"idle.finance.","TXT","idle.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,1688532361,1719944865,29,"idle.finance.","TXT","idle.finance.","\"wallet-connect-dns-verification=232097559a9948660d9eaaaed138f3bb64cdf831bd75c672645545e0ab147814\""
