zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1664583924,1720743697,,,650,"ion.wtf.","NS","wtf.","ns1.vercel-dns.com."
1664583924,1720743697,,,650,"ion.wtf.","NS","wtf.","ns2.vercel-dns.com."
,,1664985260,1720774831,86,"ion.wtf.","A","ion.wtf.","76.76.21.22"
,,1664985260,1720774831,86,"ion.wtf.","A","ion.wtf.","76.76.21.61"
,,1665973408,1720774831,73,"ion.wtf.","A","ion.wtf.","76.76.21.61"
,,1665973408,1720774831,73,"ion.wtf.","A","ion.wtf.","76.76.21.164"
,,1664575589,1720079036,93,"ion.wtf.","A","ion.wtf.","76.76.21.93"
,,1664575589,1720079036,93,"ion.wtf.","A","ion.wtf.","76.76.21.98"
,,1664565254,1720218187,66,"ion.wtf.","A","ion.wtf.","76.76.21.98"
,,1664565254,1720218187,66,"ion.wtf.","A","ion.wtf.","76.76.21.142"
,,1664619278,1720253611,77,"ion.wtf.","A","ion.wtf.","76.76.21.123"
,,1664619278,1720253611,77,"ion.wtf.","A","ion.wtf.","76.76.21.164"
,,1666294570,1719884361,81,"ion.wtf.","A","ion.wtf.","76.76.21.142"
,,1666294570,1719884361,81,"ion.wtf.","A","ion.wtf.","76.76.21.241"
,,1664541896,1720774831,10016,"ion.wtf.","NS","wtf.","ns1.vercel-dns.com."
,,1664541896,1720774831,10016,"ion.wtf.","NS","wtf.","ns2.vercel-dns.com."
,,1664621212,1719881368,97,"ion.wtf.","NS","ion.wtf.","ns1.vercel-dns.com."
,,1664621212,1719881368,97,"ion.wtf.","NS","ion.wtf.","ns2.vercel-dns.com."
,,1664571755,1719873551,4307,"ion.wtf.","SOA","ion.wtf.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652972123 43200 7200 1209600 60"
,,1720049497,1720587762,17,"ion.wtf.","SOA","ion.wtf.","ns1.vercel-dns.com. hostmaster.nsone.net. 1652972124 43200 7200 1209600 600"
