zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1674691281,1720742292,,,533,"kagla.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
1674691281,1720742292,,,533,"kagla.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
1674691281,1720742292,,,533,"kagla.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
1674691281,1720742292,,,533,"kagla.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1648732311,1720769420,2235,"kagla.finance.","A","kagla.finance.","76.76.21.21"
,,1674640306,1720769420,4317,"kagla.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,1674640306,1720769420,4317,"kagla.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,1674640306,1720769420,4317,"kagla.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,1674640306,1720769420,4317,"kagla.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1676034745,1720333288,78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e1.googledomains.com."
,,1676034745,1720333288,78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e2.googledomains.com."
,,1676034745,1720333288,78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e3.googledomains.com."
,,1676034745,1720333288,78,"kagla.finance.","NS","kagla.finance.","ns-cloud-e4.googledomains.com."
,,1717757114,1720701037,83,"kagla.finance.","SOA","kagla.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 7 21600 3600 259200 300"
