zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1676938661,1720743021,,,507,"karak.network.","NS","network.","ns-cloud-a1.googledomains.com."
1676938661,1720743021,,,507,"karak.network.","NS","network.","ns-cloud-a2.googledomains.com."
1676938661,1720743021,,,507,"karak.network.","NS","network.","ns-cloud-a3.googledomains.com."
1676938661,1720743021,,,507,"karak.network.","NS","network.","ns-cloud-a4.googledomains.com."
,,1697256640,1720750309,10024,"karak.network.","A","karak.network.","75.2.60.5"
,,1676944768,1720747286,132776,"karak.network.","NS","network.","ns-cloud-a1.googledomains.com."
,,1676944768,1720747286,132776,"karak.network.","NS","network.","ns-cloud-a2.googledomains.com."
,,1676944768,1720747286,132776,"karak.network.","NS","network.","ns-cloud-a3.googledomains.com."
,,1676944768,1720747286,132776,"karak.network.","NS","network.","ns-cloud-a4.googledomains.com."
,,1677027898,1720658334,86,"karak.network.","NS","karak.network.","ns-cloud-a1.googledomains.com."
,,1677027898,1720658334,86,"karak.network.","NS","karak.network.","ns-cloud-a2.googledomains.com."
,,1677027898,1720658334,86,"karak.network.","NS","karak.network.","ns-cloud-a3.googledomains.com."
,,1677027898,1720658334,86,"karak.network.","NS","karak.network.","ns-cloud-a4.googledomains.com."
,,1718327019,1720730205,1834,"karak.network.","SOA","karak.network.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 72 21600 3600 259200 300"
