zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
1621562525,1720742292,,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
1621562525,1720742292,,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
1621562525,1720742292,,,1096,"kassandra.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1637692615,1720759729,3166,"kassandra.finance.","A","kassandra.finance.","76.76.21.21"
,,1618681093,1720765755,32761,"kassandra.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,1618681093,1720765755,32761,"kassandra.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,1618681093,1720765755,32761,"kassandra.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,1618681093,1720765755,32761,"kassandra.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1618875358,1720031803,268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c1.googledomains.com."
,,1618875358,1720031803,268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c2.googledomains.com."
,,1618875358,1720031803,268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c3.googledomains.com."
,,1618875358,1720031803,268,"kassandra.finance.","NS","kassandra.finance.","ns-cloud-c4.googledomains.com."
,,1718805767,1720765756,7673,"kassandra.finance.","SOA","kassandra.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 36 21600 3600 259200 300"
