zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1653437312,1720742292,,,771,"kokonutswap.finance.","NS","finance.","dns1.p04.nsone.net."
1653437312,1720742292,,,771,"kokonutswap.finance.","NS","finance.","dns2.p04.nsone.net."
1653437312,1720742292,,,771,"kokonutswap.finance.","NS","finance.","dns3.p04.nsone.net."
1653437312,1720742292,,,771,"kokonutswap.finance.","NS","finance.","dns4.p04.nsone.net."
,,1693390934,1720378315,86,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,1693390934,1720378315,86,"kokonutswap.finance.","A","kokonutswap.finance.","3.72.140.173"
,,1693772907,1720526213,86,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,1693772907,1720526213,86,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.94.96"
,,1694982650,1720729966,81,"kokonutswap.finance.","A","kokonutswap.finance.","3.70.101.28"
,,1694982650,1720729966,81,"kokonutswap.finance.","A","kokonutswap.finance.","35.156.224.161"
,,1694644010,1720729966,66,"kokonutswap.finance.","A","kokonutswap.finance.","3.72.140.173"
,,1694644010,1720729966,66,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,1693712046,1720729966,70,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.94.96"
,,1693712046,1720729966,70,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.231.252"
,,1692912496,1720378319,100,"kokonutswap.finance.","A","kokonutswap.finance.","18.192.231.252"
,,1692912496,1720378319,100,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,1693843138,1720526213,79,"kokonutswap.finance.","A","kokonutswap.finance.","35.156.224.161"
,,1693843138,1720526213,79,"kokonutswap.finance.","A","kokonutswap.finance.","52.58.254.253"
,,1653376997,1720729966,6468,"kokonutswap.finance.","NS","finance.","dns1.p04.nsone.net."
,,1653376997,1720729966,6468,"kokonutswap.finance.","NS","finance.","dns2.p04.nsone.net."
,,1653376997,1720729966,6468,"kokonutswap.finance.","NS","finance.","dns3.p04.nsone.net."
,,1653376997,1720729966,6468,"kokonutswap.finance.","NS","finance.","dns4.p04.nsone.net."
,,1663967773,1720526213,7500,"kokonutswap.finance.","SOA","kokonutswap.finance.","dns1.p04.nsone.net. domains+netlify.netlify.com. 1663738834 43200 7200 1209600 3600"
