zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"layer2.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
1621562525,1720742292,,,1126,"layer2.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
1621562525,1720742292,,,1126,"layer2.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
1621562525,1720742292,,,1126,"layer2.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1613289537,1720762405,2308,"layer2.finance.","A","layer2.finance.","185.199.108.153"
,,1613289537,1720762405,2308,"layer2.finance.","A","layer2.finance.","185.199.109.153"
,,1613289537,1720762405,2308,"layer2.finance.","A","layer2.finance.","185.199.110.153"
,,1613289537,1720762405,2308,"layer2.finance.","A","layer2.finance.","185.199.111.153"
,,1612287615,1720762405,13149,"layer2.finance.","NS","finance.","ns-cloud-a1.googledomains.com."
,,1612287615,1720762405,13149,"layer2.finance.","NS","finance.","ns-cloud-a2.googledomains.com."
,,1612287615,1720762405,13149,"layer2.finance.","NS","finance.","ns-cloud-a3.googledomains.com."
,,1612287615,1720762405,13149,"layer2.finance.","NS","finance.","ns-cloud-a4.googledomains.com."
,,1613289653,1720140718,239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a1.googledomains.com."
,,1613289653,1720140718,239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a2.googledomains.com."
,,1613289653,1720140718,239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a3.googledomains.com."
,,1613289653,1720140718,239,"layer2.finance.","NS","layer2.finance.","ns-cloud-a4.googledomains.com."
,,1716099549,1720689133,94,"layer2.finance.","SOA","layer2.finance.","ns-cloud-a1.googledomains.com. cloud-dns-hostmaster.google.com. 27 21600 3600 259200 300"
