zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1653434399,1720742039,,,771,"loanshark.tech.","NS","tech.","ns-cloud-b1.googledomains.com."
1653434399,1720742039,,,771,"loanshark.tech.","NS","tech.","ns-cloud-b2.googledomains.com."
1653434399,1720742039,,,771,"loanshark.tech.","NS","tech.","ns-cloud-b3.googledomains.com."
1653434399,1720742039,,,771,"loanshark.tech.","NS","tech.","ns-cloud-b4.googledomains.com."
,,1717939200,1720746652,128,"loanshark.tech.","A","loanshark.tech.","35.71.142.77"
,,1717939200,1720746652,128,"loanshark.tech.","A","loanshark.tech.","52.223.52.2"
,,1653390805,1720745434,7273,"loanshark.tech.","NS","tech.","ns-cloud-b1.googledomains.com."
,,1653390805,1720745434,7273,"loanshark.tech.","NS","tech.","ns-cloud-b2.googledomains.com."
,,1653390805,1720745434,7273,"loanshark.tech.","NS","tech.","ns-cloud-b3.googledomains.com."
,,1653390805,1720745434,7273,"loanshark.tech.","NS","tech.","ns-cloud-b4.googledomains.com."
,,1653390805,1720745434,137,"loanshark.tech.","NS","loanshark.tech.","ns-cloud-b1.googledomains.com."
,,1653390805,1720745434,137,"loanshark.tech.","NS","loanshark.tech.","ns-cloud-b2.googledomains.com."
,,1653390805,1720745434,137,"loanshark.tech.","NS","loanshark.tech.","ns-cloud-b3.googledomains.com."
,,1653390805,1720745434,137,"loanshark.tech.","NS","loanshark.tech.","ns-cloud-b4.googledomains.com."
,,1717608751,1720745434,121,"loanshark.tech.","SOA","loanshark.tech.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 36 21600 3600 259200 300"
