zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1634690303,1720742292,,,974,"lockon.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
1634690303,1720742292,,,974,"lockon.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
1634690303,1720742292,,,974,"lockon.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
1634690303,1720742292,,,974,"lockon.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1719970299,1720769758,21,"lockon.finance.","A","lockon.finance.","198.185.159.145"
,,1634827144,1720769450,11978,"lockon.finance.","NS","finance.","ns-cloud-c1.googledomains.com."
,,1634827144,1720769450,11978,"lockon.finance.","NS","finance.","ns-cloud-c2.googledomains.com."
,,1634827144,1720769450,11978,"lockon.finance.","NS","finance.","ns-cloud-c3.googledomains.com."
,,1634827144,1720769450,11978,"lockon.finance.","NS","finance.","ns-cloud-c4.googledomains.com."
,,1635764887,1720605869,159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c1.googledomains.com."
,,1635764887,1720605869,159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c2.googledomains.com."
,,1635764887,1720605869,159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c3.googledomains.com."
,,1635764887,1720605869,159,"lockon.finance.","NS","lockon.finance.","ns-cloud-c4.googledomains.com."
,,1720060303,1720760398,19,"lockon.finance.","SOA","lockon.finance.","ns-cloud-c1.googledomains.com. cloud-dns-hostmaster.google.com. 43 21600 3600 259200 300"
,,1648418150,1720797451,227,"lockon.finance.","MX","lockon.finance.","1 aspmx.l.google.com."
,,1648418150,1720797451,227,"lockon.finance.","MX","lockon.finance.","5 alt1.aspmx.l.google.com."
,,1648418150,1720797451,227,"lockon.finance.","MX","lockon.finance.","5 alt2.aspmx.l.google.com."
,,1648418150,1720797451,227,"lockon.finance.","MX","lockon.finance.","10 alt3.aspmx.l.google.com."
,,1648418150,1720797451,227,"lockon.finance.","MX","lockon.finance.","10 alt4.aspmx.l.google.com."
