zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1631318697,1720739367,,,1010,"looksrare.org.","NS","org.","veda.ns.cloudflare.com."
1631318697,1720739367,,,1010,"looksrare.org.","NS","org.","derek.ns.cloudflare.com."
,,1707773456,1720757512,25593,"looksrare.org.","A","looksrare.org.","104.21.1.52"
,,1707773456,1720757512,25593,"looksrare.org.","A","looksrare.org.","172.67.128.140"
,,1631442234,1719833109,27,"looksrare.org.","A","looksrare.org.","172.64.80.1"
,,1708291982,1720068231,86,"looksrare.org.","A","looksrare.org.","188.114.96.0"
,,1708291982,1720068231,86,"looksrare.org.","A","looksrare.org.","188.114.97.0"
,,1709032162,1720540049,20,"looksrare.org.","A","looksrare.org.","188.114.96.1"
,,1709032162,1720540049,20,"looksrare.org.","A","looksrare.org.","188.114.97.1"
,,1707785538,1720722042,884,"looksrare.org.","A","looksrare.org.","188.114.96.3"
,,1707785538,1720722042,884,"looksrare.org.","A","looksrare.org.","188.114.97.3"
,,1707829689,1720774262,294,"looksrare.org.","A","looksrare.org.","188.114.96.4"
,,1707829689,1720774262,294,"looksrare.org.","A","looksrare.org.","188.114.97.4"
,,1707845458,1720159062,92,"looksrare.org.","A","looksrare.org.","188.114.96.8"
,,1707845458,1720159062,92,"looksrare.org.","A","looksrare.org.","188.114.97.8"
,,1631302631,1720787453,1148029,"looksrare.org.","NS","org.","veda.ns.cloudflare.com."
,,1631302631,1720787453,1148029,"looksrare.org.","NS","org.","derek.ns.cloudflare.com."
,,1719807445,1719807461,991,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345293125 10000 2400 604800 1800"
,,1719837337,1719837342,57,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345322864 10000 2400 604800 1800"
,,1720025411,1720025411,1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345511101 10000 2400 604800 1800"
,,1720051138,1720051138,2,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345536623 10000 2400 604800 1800"
,,1720059587,1720059587,2,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345545231 10000 2400 604800 1800"
,,1720230160,1720230258,7945,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715857 10000 2400 604800 1800"
,,1720230257,1720230279,1776,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715957 10000 2400 604800 1800"
,,1720230278,1720230376,7712,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2345715977 10000 2400 604800 1800"
,,1720624766,1720624766,1,"looksrare.org.","SOA","looksrare.org.","derek.ns.cloudflare.com. dns.cloudflare.com. 2346110312 10000 2400 604800 1800"
,,1707773751,1720744336,16361,"looksrare.org.","AAAA","looksrare.org.","2606:4700:3033::ac43:808c"
,,1707773751,1720744336,16361,"looksrare.org.","AAAA","looksrare.org.","2606:4700:3034::6815:134"
,,1715323385,1720540049,12,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::1"
,,1715323385,1720540049,12,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::1"
,,1707785538,1720738708,640,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::3"
,,1707785538,1720738708,640,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::3"
,,1707829689,1720791421,223,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::4"
,,1707829689,1720791421,223,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::4"
,,1708000683,1720785327,66,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3120::8"
,,1708000683,1720785327,66,"looksrare.org.","AAAA","looksrare.org.","2a06:98c1:3121::8"
,,1707773751,1720730801,21077,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=104.21.1.52,172.67.128.140 ipv6hint=2606:4700:3033::ac43:808c,2606:4700:3034::6815:134"
,,1707776865,1720749310,629,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
,,1707822077,1720774262,269,"looksrare.org.","HTTPS","looksrare.org.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.4,188.114.97.4 ipv6hint=2a06:98c1:3120::4,2a06:98c1:3121::4"
