zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1679653079,1720613012,,,472,"mantadao.app.","NS","app.","ns-cloud-b1.googledomains.com."
1679653079,1720613012,,,472,"mantadao.app.","NS","app.","ns-cloud-b2.googledomains.com."
1679653079,1720613012,,,472,"mantadao.app.","NS","app.","ns-cloud-b3.googledomains.com."
1679653079,1720613012,,,472,"mantadao.app.","NS","app.","ns-cloud-b4.googledomains.com."
,,1680274505,1720705386,2865,"mantadao.app.","A","mantadao.app.","216.239.32.21"
,,1680274505,1720705386,2865,"mantadao.app.","A","mantadao.app.","216.239.34.21"
,,1680274505,1720705386,2865,"mantadao.app.","A","mantadao.app.","216.239.36.21"
,,1680274505,1720705386,2865,"mantadao.app.","A","mantadao.app.","216.239.38.21"
,,1679881473,1720769328,19026,"mantadao.app.","NS","app.","ns-cloud-b1.googledomains.com."
,,1679881473,1720769328,19026,"mantadao.app.","NS","app.","ns-cloud-b2.googledomains.com."
,,1679881473,1720769328,19026,"mantadao.app.","NS","app.","ns-cloud-b3.googledomains.com."
,,1679881473,1720769328,19026,"mantadao.app.","NS","app.","ns-cloud-b4.googledomains.com."
,,1680274518,1720763595,79,"mantadao.app.","NS","mantadao.app.","ns-cloud-b1.googledomains.com."
,,1680274518,1720763595,79,"mantadao.app.","NS","mantadao.app.","ns-cloud-b2.googledomains.com."
,,1680274518,1720763595,79,"mantadao.app.","NS","mantadao.app.","ns-cloud-b3.googledomains.com."
,,1680274518,1720763595,79,"mantadao.app.","NS","mantadao.app.","ns-cloud-b4.googledomains.com."
,,1717582407,1720694644,68,"mantadao.app.","SOA","mantadao.app.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 13 21600 3600 259200 300"
,,1680274521,1720561447,38,"mantadao.app.","MX","mantadao.app.","1 aspmx.l.google.com."
,,1680274521,1720561447,38,"mantadao.app.","MX","mantadao.app.","5 alt1.aspmx.l.google.com."
,,1680274521,1720561447,38,"mantadao.app.","MX","mantadao.app.","5 alt2.aspmx.l.google.com."
,,1680274521,1720561447,38,"mantadao.app.","MX","mantadao.app.","10 alt3.aspmx.l.google.com."
,,1680274521,1720561447,38,"mantadao.app.","MX","mantadao.app.","10 alt4.aspmx.l.google.com."
,,1680876073,1720694644,1192,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:32::15"
,,1680876073,1720694644,1192,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:34::15"
,,1680876073,1720694644,1192,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:36::15"
,,1680876073,1720694644,1192,"mantadao.app.","AAAA","mantadao.app.","2001:4860:4802:38::15"
