zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1672186063,1720742292,,,562,"mare.finance.","NS","finance.","macy.ns.cloudflare.com."
1672186063,1720742292,,,562,"mare.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,1679071764,1720762069,2114,"mare.finance.","A","mare.finance.","104.26.2.29"
,,1679071764,1720762069,2114,"mare.finance.","A","mare.finance.","104.26.3.29"
,,1679071764,1720762069,2114,"mare.finance.","A","mare.finance.","172.67.70.241"
,,1680534000,1720619699,2102,"mare.finance.","A","mare.finance.","188.114.98.229"
,,1680534000,1720619699,2102,"mare.finance.","A","mare.finance.","188.114.99.229"
,,1672175938,1720762069,53274,"mare.finance.","NS","finance.","macy.ns.cloudflare.com."
,,1672175938,1720762069,53274,"mare.finance.","NS","finance.","mustafa.ns.cloudflare.com."
,,1718936101,1720219094,11,"mare.finance.","SOA","mare.finance.","macy.ns.cloudflare.com. dns.cloudflare.com. 2343652851 10000 2400 604800 1800"
,,1682340965,1720619695,432,"mare.finance.","AAAA","mare.finance.","2a06:98c1:3122:e000::5"
,,1682340965,1720619695,432,"mare.finance.","AAAA","mare.finance.","2a06:98c1:3123:e000::5"
