zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1685405567,1720742292,,,409,"mendi.finance.","NS","finance.","kirk.ns.cloudflare.com."
1685405567,1720742292,,,409,"mendi.finance.","NS","finance.","rita.ns.cloudflare.com."
,,1685502392,1720764327,4970,"mendi.finance.","A","mendi.finance.","104.26.6.193"
,,1685502392,1720764327,4970,"mendi.finance.","A","mendi.finance.","104.26.7.193"
,,1685502392,1720764327,4970,"mendi.finance.","A","mendi.finance.","172.67.69.234"
,,1685516997,1720771703,16186,"mendi.finance.","A","mendi.finance.","188.114.98.229"
,,1685516997,1720771703,16186,"mendi.finance.","A","mendi.finance.","188.114.99.229"
,,1685377555,1720768455,179389,"mendi.finance.","NS","finance.","kirk.ns.cloudflare.com."
,,1685377555,1720768455,179389,"mendi.finance.","NS","finance.","rita.ns.cloudflare.com."
,,1687898841,1720444058,75,"mendi.finance.","NS","mendi.finance.","kirk.ns.cloudflare.com."
,,1687898841,1720444058,75,"mendi.finance.","NS","mendi.finance.","rita.ns.cloudflare.com."
,,1718367075,1720707532,137,"mendi.finance.","SOA","mendi.finance.","kirk.ns.cloudflare.com. dns.cloudflare.com. 2343788993 10000 2400 604800 1800"
,,1689524319,1720784005,3226,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::681a:6c1"
,,1689524319,1720784005,3226,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::681a:7c1"
,,1689524319,1720784005,3226,"mendi.finance.","AAAA","mendi.finance.","2606:4700:20::ac43:45ea"
,,1689398675,1720734633,2117,"mendi.finance.","AAAA","mendi.finance.","2a06:98c1:3122:e000::5"
,,1689398675,1720734633,2117,"mendi.finance.","AAAA","mendi.finance.","2a06:98c1:3123:e000::5"
,,1690908203,1720775216,4442,"mendi.finance.","HTTPS","mendi.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,1689158313,1720777643,3458,"mendi.finance.","HTTPS","mendi.finance.","1 . alpn=\"h2\" ipv4hint=104.26.6.193,104.26.7.193,172.67.69.234 ipv6hint=2606:4700:20::681a:6c1,2606:4700:20::681a:7c1,2606:4700:20::ac43:45ea"
