zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1670968968,1720738701,,,576,"metastreet.xyz.","NS","xyz.","ns1.vercel-dns-2.com."
1670968968,1720738701,,,576,"metastreet.xyz.","NS","xyz.","ns2.vercel-dns-2.com."
,,1703154660,1720681169,32,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1703154660,1720681169,32,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1704353884,1720377324,60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1704353884,1720377324,60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.61"
,,1706270817,1720644740,41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1706270817,1720644740,41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1702823770,1720540411,56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1702823770,1720540411,56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1701919560,1720070734,50,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1701919560,1720070734,50,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1704401119,1720644546,34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1704401119,1720644546,34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1703128028,1720284666,41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.9"
,,1703128028,1720284666,41,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.241"
,,1702010880,1720309317,52,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1702010880,1720309317,52,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1702329387,1720569514,65,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1702329387,1720569514,65,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1703209706,1720748791,55,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1703209706,1720748791,55,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1704408858,1719869654,33,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1704408858,1719869654,33,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1701899925,1720309307,49,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.22"
,,1701899925,1720309307,49,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.241"
,,1706594602,1719869647,37,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.61"
,,1706594602,1719869647,37,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1703160450,1720711227,30,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.61"
,,1703160450,1720711227,30,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1703257584,1720232504,34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.61"
,,1703257584,1720232504,34,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1704381217,1720549657,44,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1704381217,1720549657,44,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1702124825,1720477226,40,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1702124825,1720477226,40,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1702989495,1720416584,60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1702989495,1720416584,60,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1704412067,1720045828,40,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.93"
,,1704412067,1720045828,40,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.241"
,,1703212458,1720491148,43,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1703212458,1720491148,43,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1702195669,1720724527,46,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1702195669,1720724527,46,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1703126354,1720354520,47,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.98"
,,1703126354,1720354520,47,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1704422799,1720389123,57,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1704422799,1720389123,57,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1701959185,1720732922,56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1701959185,1720732922,56,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1704085816,1720549460,38,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.123"
,,1704085816,1720549460,38,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.241"
,,1703126025,1720251958,57,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.142"
,,1703126025,1720251958,57,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1702563016,1720789565,55,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.164"
,,1702563016,1720789565,55,"metastreet.xyz.","A","metastreet.xyz.","76.76.21.241"
,,1671203271,1720755179,41469,"metastreet.xyz.","NS","xyz.","ns1.vercel-dns-2.com."
,,1671203271,1720755179,41469,"metastreet.xyz.","NS","xyz.","ns2.vercel-dns-2.com."
,,1671832141,1720784170,247,"metastreet.xyz.","NS","metastreet.xyz.","ns1.vercel-dns-2.com."
,,1671832141,1720784170,247,"metastreet.xyz.","NS","metastreet.xyz.","ns2.vercel-dns-2.com."
,,1671203265,1720039002,51307,"metastreet.xyz.","SOA","metastreet.xyz.","ns1.vercel-dns-2.com. hostmaster.nsone.net. 1659371204 43200 7200 1209600 60"
,,1720039067,1720790610,1295,"metastreet.xyz.","SOA","metastreet.xyz.","ns1.vercel-dns-2.com. hostmaster.nsone.net. 1659371205 43200 7200 1209600 600"
,,1634234939,1720595643,335,"metastreet.xyz.","MX","metastreet.xyz.","1 aspmx.l.google.com."
,,1634234939,1720595643,335,"metastreet.xyz.","MX","metastreet.xyz.","5 alt1.aspmx.l.google.com."
,,1634234939,1720595643,335,"metastreet.xyz.","MX","metastreet.xyz.","5 alt2.aspmx.l.google.com."
,,1634234939,1720595643,335,"metastreet.xyz.","MX","metastreet.xyz.","10 alt3.aspmx.l.google.com."
,,1634234939,1720595643,335,"metastreet.xyz.","MX","metastreet.xyz.","10 alt4.aspmx.l.google.com."
,,1703212651,1720389137,12,"metastreet.xyz.","TXT","metastreet.xyz.","\"v=spf1 include:_spf.google.com ~all\""
,,1703212651,1720389137,12,"metastreet.xyz.","TXT","metastreet.xyz.","\"google-site-verification=L45iASXapN4p5j7696gUjOjjdIEOvEnWV79xNBVXiOA\""
,,1703212651,1720389137,12,"metastreet.xyz.","TXT","metastreet.xyz.","\"wallet-connect-dns-verification=c47b88be7156b8bcfca5f27dbd5c3afd42ba2fcd9a038fb5c66a7b7506ea0a86\""
