zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1670112042,1720742292,,,586,"mozaic.finance.","NS","finance.","aarav.ns.cloudflare.com."
1670112042,1720742292,,,586,"mozaic.finance.","NS","finance.","keyla.ns.cloudflare.com."
,,1698263007,1720764215,4111,"mozaic.finance.","A","mozaic.finance.","104.21.62.59"
,,1698263007,1720764215,4111,"mozaic.finance.","A","mozaic.finance.","172.67.220.162"
,,1670068082,1720556999,259,"mozaic.finance.","A","mozaic.finance.","188.114.96.3"
,,1670068082,1720556999,259,"mozaic.finance.","A","mozaic.finance.","188.114.97.3"
,,1670038895,1720764215,21993,"mozaic.finance.","NS","finance.","aarav.ns.cloudflare.com."
,,1670038895,1720764215,21993,"mozaic.finance.","NS","finance.","keyla.ns.cloudflare.com."
,,1670038896,1720681010,127,"mozaic.finance.","NS","mozaic.finance.","aarav.ns.cloudflare.com."
,,1670038896,1720681010,127,"mozaic.finance.","NS","mozaic.finance.","keyla.ns.cloudflare.com."
,,1719472077,1720180050,13,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2344950582 10000 2400 604800 1800"
,,1720316028,1720518245,4,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2345681099 10000 2400 604800 1800"
,,1720570508,1720570509,6,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2346025849 10000 2400 604800 1800"
,,1720652503,1720652503,2,"mozaic.finance.","SOA","mozaic.finance.","aarav.ns.cloudflare.com. dns.cloudflare.com. 2346123037 10000 2400 604800 1800"
,,1652082015,1720767979,218,"mozaic.finance.","MX","mozaic.finance.","1 aspmx.l.google.com."
,,1652082015,1720767979,218,"mozaic.finance.","MX","mozaic.finance.","5 alt1.aspmx.l.google.com."
,,1652082015,1720767979,218,"mozaic.finance.","MX","mozaic.finance.","5 alt2.aspmx.l.google.com."
,,1652082015,1720767979,218,"mozaic.finance.","MX","mozaic.finance.","10 alt3.aspmx.l.google.com."
,,1652082015,1720767979,218,"mozaic.finance.","MX","mozaic.finance.","10 alt4.aspmx.l.google.com."
,,1698263007,1720764215,939,"mozaic.finance.","AAAA","mozaic.finance.","2606:4700:3030::ac43:dca2"
,,1698263007,1720764215,939,"mozaic.finance.","AAAA","mozaic.finance.","2606:4700:3037::6815:3e3b"
,,1699051382,1720385752,20,"mozaic.finance.","AAAA","mozaic.finance.","2a06:98c1:3120::4"
,,1699051382,1720385752,20,"mozaic.finance.","AAAA","mozaic.finance.","2a06:98c1:3121::4"
,,1698348832,1720500698,1094,"mozaic.finance.","HTTPS","mozaic.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.62.59,172.67.220.162 ipv6hint=2606:4700:3030::ac43:dca2,2606:4700:3037::6815:3e3b"
,,1688397128,1720095477,185,"mozaic.finance.","HTTPS","mozaic.finance.","1 . alpn=\"h3,h2\" ipv4hint=188.114.96.3,188.114.97.3 ipv6hint=2a06:98c1:3120::3,2a06:98c1:3121::3"
