zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1575244020,1720739367,,,1139,"mstable.org.","NS","org.","ns-cloud-e1.googledomains.com."
1575244020,1720739367,,,1139,"mstable.org.","NS","org.","ns-cloud-e2.googledomains.com."
1575244020,1720739367,,,1139,"mstable.org.","NS","org.","ns-cloud-e3.googledomains.com."
1575244020,1720739367,,,1139,"mstable.org.","NS","org.","ns-cloud-e4.googledomains.com."
,,1557286228,1720498976,10302,"mstable.org.","A","mstable.org.","216.239.32.21"
,,1557286228,1720498976,10302,"mstable.org.","A","mstable.org.","216.239.34.21"
,,1557286228,1720498976,10302,"mstable.org.","A","mstable.org.","216.239.36.21"
,,1557286228,1720498976,10302,"mstable.org.","A","mstable.org.","216.239.38.21"
,,1562402900,1720498976,76477,"mstable.org.","NS","org.","ns-cloud-e1.googledomains.com."
,,1562402900,1720498976,76477,"mstable.org.","NS","org.","ns-cloud-e2.googledomains.com."
,,1562402900,1720498976,76477,"mstable.org.","NS","org.","ns-cloud-e3.googledomains.com."
,,1562402900,1720498976,76477,"mstable.org.","NS","org.","ns-cloud-e4.googledomains.com."
,,1718826762,1720498976,120,"mstable.org.","SOA","mstable.org.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 66 21600 3600 259200 300"
,,1557587772,1720498976,6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:32::15"
,,1557587772,1720498976,6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:34::15"
,,1557587772,1720498976,6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:36::15"
,,1557587772,1720498976,6459,"mstable.org.","AAAA","mstable.org.","2001:4860:4802:38::15"
