zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1674691281,1720742292,,,533,"muuu.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
1674691281,1720742292,,,533,"muuu.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
1674691281,1720742292,,,533,"muuu.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
1674691281,1720742292,,,533,"muuu.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1650988759,1720735084,1389,"muuu.finance.","A","muuu.finance.","76.76.21.21"
,,1674784054,1720735084,2661,"muuu.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,1674784054,1720735084,2661,"muuu.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,1674784054,1720735084,2661,"muuu.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,1674784054,1720735084,2661,"muuu.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1675064742,1720139725,76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b1.googledomains.com."
,,1675064742,1720139725,76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b2.googledomains.com."
,,1675064742,1720139725,76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b3.googledomains.com."
,,1675064742,1720139725,76,"muuu.finance.","NS","muuu.finance.","ns-cloud-b4.googledomains.com."
,,1717755139,1720735084,59,"muuu.finance.","SOA","muuu.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 5 21600 3600 259200 300"
,,1650988931,1720582728,63,"muuu.finance.","MX","muuu.finance.","1 aspmx.l.google.com."
,,1650988931,1720582728,63,"muuu.finance.","MX","muuu.finance.","5 alt1.aspmx.l.google.com."
,,1650988931,1720582728,63,"muuu.finance.","MX","muuu.finance.","5 alt2.aspmx.l.google.com."
,,1650988931,1720582728,63,"muuu.finance.","MX","muuu.finance.","10 alt3.aspmx.l.google.com."
,,1650988931,1720582728,63,"muuu.finance.","MX","muuu.finance.","10 alt4.aspmx.l.google.com."
