zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1673741569,1720742920,,,543,"nftearth.exchange.","NS","exchange.","jack.ns.cloudflare.com."
1673741569,1720742920,,,543,"nftearth.exchange.","NS","exchange.","bonnie.ns.cloudflare.com."
,,1681374623,1720756054,1826,"nftearth.exchange.","A","nftearth.exchange.","104.21.54.189"
,,1681374623,1720756054,1826,"nftearth.exchange.","A","nftearth.exchange.","172.67.141.70"
,,1691515126,1720436614,69,"nftearth.exchange.","A","nftearth.exchange.","188.114.96.0"
,,1691515126,1720436614,69,"nftearth.exchange.","A","nftearth.exchange.","188.114.97.0"
,,1681475200,1720646594,100,"nftearth.exchange.","A","nftearth.exchange.","188.114.96.3"
,,1681475200,1720646594,100,"nftearth.exchange.","A","nftearth.exchange.","188.114.97.3"
,,1673721483,1720778622,11032,"nftearth.exchange.","NS","exchange.","jack.ns.cloudflare.com."
,,1673721483,1720778622,11032,"nftearth.exchange.","NS","exchange.","bonnie.ns.cloudflare.com."
,,1676975368,1720778622,181,"nftearth.exchange.","NS","nftearth.exchange.","jack.ns.cloudflare.com."
,,1676975368,1720778622,181,"nftearth.exchange.","NS","nftearth.exchange.","bonnie.ns.cloudflare.com."
,,1719716572,1720053383,6,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345108784 10000 2400 604800 1800"
,,1720057711,1720059627,12,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345539999 10000 2400 604800 1800"
,,1720214248,1720520584,14,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2345576335 10000 2400 604800 1800"
,,1720627545,1720744647,6,"nftearth.exchange.","SOA","nftearth.exchange.","bonnie.ns.cloudflare.com. dns.cloudflare.com. 2346021494 10000 2400 604800 1800"
,,1720303578,1720303578,2,"nftearth.exchange.","HINFO","nftearth.exchange.","\"RFC8482\" \"\""
,,1695294019,1720303580,35,"nftearth.exchange.","MX","nftearth.exchange.","10 mail.protonmail.ch."
,,1695294019,1720303580,35,"nftearth.exchange.","MX","nftearth.exchange.","20 mailsec.protonmail.ch."
,,1681380285,1720756055,801,"nftearth.exchange.","AAAA","nftearth.exchange.","2606:4700:3033::ac43:8d46"
,,1681380285,1720756055,801,"nftearth.exchange.","AAAA","nftearth.exchange.","2606:4700:3036::6815:36bd"
,,1684938544,1720400893,587,"nftearth.exchange.","HTTPS","nftearth.exchange.","1 . alpn=\"h3,h2\" ipv4hint=104.21.54.189,172.67.141.70 ipv6hint=2606:4700:3033::ac43:8d46,2606:4700:3036::6815:36bd"
