zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1660003582,1720742292,,,703,"nirvana.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
1660003582,1720742292,,,703,"nirvana.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
1660003582,1720742292,,,703,"nirvana.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
1660003582,1720742292,,,703,"nirvana.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1657205483,1720720661,1368,"nirvana.finance.","A","nirvana.finance.","75.2.70.75"
,,1657205483,1720720661,1368,"nirvana.finance.","A","nirvana.finance.","99.83.190.102"
,,1660032496,1720699520,7364,"nirvana.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,1660032496,1720699520,7364,"nirvana.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,1660032496,1720699520,7364,"nirvana.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,1660032496,1720699520,7364,"nirvana.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1662218805,1720659023,97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b1.googledomains.com."
,,1662218805,1720659023,97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b2.googledomains.com."
,,1662218805,1720659023,97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b3.googledomains.com."
,,1662218805,1720659023,97,"nirvana.finance.","NS","nirvana.finance.","ns-cloud-b4.googledomains.com."
,,1712832494,1720785819,115,"nirvana.finance.","SOA","nirvana.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 4 21600 3600 259200 300"
,,1650872722,1720505830,98,"nirvana.finance.","MX","nirvana.finance.","1 aspmx.l.google.com."
,,1650872722,1720505830,98,"nirvana.finance.","MX","nirvana.finance.","5 alt1.aspmx.l.google.com."
,,1650872722,1720505830,98,"nirvana.finance.","MX","nirvana.finance.","5 alt2.aspmx.l.google.com."
,,1650872722,1720505830,98,"nirvana.finance.","MX","nirvana.finance.","10 alt3.aspmx.l.google.com."
,,1650872722,1720505830,98,"nirvana.finance.","MX","nirvana.finance.","10 alt4.aspmx.l.google.com."
,,1657205586,1720366154,25,"nirvana.finance.","TXT","nirvana.finance.","\"proxy-ssl.webflow.com\""
,,1657205586,1720366154,25,"nirvana.finance.","TXT","nirvana.finance.","\"google-site-verification=fI6W44SXGd827OKavvxJwRflSIPRtk4NArM4v2s-LRs\""
