zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1658880198,1720742292,,,715,"nostra.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
1658880198,1720742292,,,715,"nostra.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
1658880198,1720742292,,,715,"nostra.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
1658880198,1720742292,,,715,"nostra.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1660313970,1720745591,10818,"nostra.finance.","A","nostra.finance.","199.36.158.100"
,,1720793157,1720793157,1,"nostra.finance.","NS","finance.","ns-434.awsdns-54.com."
,,1720793157,1720793157,1,"nostra.finance.","NS","finance.","ns-877.awsdns-45.net."
,,1720793157,1720793157,1,"nostra.finance.","NS","finance.","ns-1035.awsdns-01.org."
,,1720793157,1720793157,1,"nostra.finance.","NS","finance.","ns-1793.awsdns-32.co.uk."
,,1659447716,1720761826,359289,"nostra.finance.","NS","finance.","ns-cloud-e1.googledomains.com."
,,1659447716,1720761826,359289,"nostra.finance.","NS","finance.","ns-cloud-e2.googledomains.com."
,,1659447716,1720761826,359289,"nostra.finance.","NS","finance.","ns-cloud-e3.googledomains.com."
,,1659447716,1720761826,359289,"nostra.finance.","NS","finance.","ns-cloud-e4.googledomains.com."
,,1720793157,1720793157,1,"nostra.finance.","NS","nostra.finance.","ns-434.awsdns-54.com."
,,1720793157,1720793157,1,"nostra.finance.","NS","nostra.finance.","ns-877.awsdns-45.net."
,,1720793157,1720793157,1,"nostra.finance.","NS","nostra.finance.","ns-1035.awsdns-01.org."
,,1720793157,1720793157,1,"nostra.finance.","NS","nostra.finance.","ns-1793.awsdns-32.co.uk."
,,1660314073,1720485622,206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e1.googledomains.com."
,,1660314073,1720485622,206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e2.googledomains.com."
,,1660314073,1720485622,206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e3.googledomains.com."
,,1660314073,1720485622,206,"nostra.finance.","NS","nostra.finance.","ns-cloud-e4.googledomains.com."
,,1720793090,1720793090,1,"nostra.finance.","SOA","nostra.finance.","ns-877.awsdns-45.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
,,1717088054,1720786239,103719,"nostra.finance.","SOA","nostra.finance.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 32 21600 3600 259200 300"
,,1717935764,1720366208,2,"nostra.finance.","TXT","nostra.finance.","\"v=spf1 include:mailgun.org ~all\""
,,1717935764,1720366208,2,"nostra.finance.","TXT","nostra.finance.","\"google-site-verification=OK4ZlZTYe7o6IAOb0JIouijTos-2a_iIcMSmmvWX-P8\""
