zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1691448621,1720651820,,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b1.googledomains.com."
1691448621,1720651820,,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b2.googledomains.com."
1691448621,1720651820,,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b3.googledomains.com."
1691448621,1720651820,,,297,"ohmycrypt.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,1691754597,1720746603,246,"ohmycrypt.com.","A","ohmycrypt.com.","76.76.21.21"
,,1691440732,1720746603,672,"ohmycrypt.com.","NS","com.","ns-cloud-b1.googledomains.com."
,,1691440732,1720746603,672,"ohmycrypt.com.","NS","com.","ns-cloud-b2.googledomains.com."
,,1691440732,1720746603,672,"ohmycrypt.com.","NS","com.","ns-cloud-b3.googledomains.com."
,,1691440732,1720746603,672,"ohmycrypt.com.","NS","com.","ns-cloud-b4.googledomains.com."
,,1691579970,1719991944,22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b1.googledomains.com."
,,1691579970,1719991944,22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b2.googledomains.com."
,,1691579970,1719991944,22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b3.googledomains.com."
,,1691579970,1719991944,22,"ohmycrypt.com.","NS","ohmycrypt.com.","ns-cloud-b4.googledomains.com."
,,1717896112,1720472771,9,"ohmycrypt.com.","SOA","ohmycrypt.com.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 7 21600 3600 259200 300"
