zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"olympusdao.finance.","NS","finance.","erin.ns.cloudflare.com."
1621562525,1720742292,,,1126,"olympusdao.finance.","NS","finance.","abdullah.ns.cloudflare.com."
,,1626049846,1720779279,55746,"olympusdao.finance.","A","olympusdao.finance.","75.2.70.75"
,,1626049846,1720779279,55746,"olympusdao.finance.","A","olympusdao.finance.","99.83.190.102"
,,1620079520,1720761302,1764715,"olympusdao.finance.","NS","finance.","erin.ns.cloudflare.com."
,,1620079520,1720761302,1764715,"olympusdao.finance.","NS","finance.","abdullah.ns.cloudflare.com."
,,1620159551,1720777477,4483,"olympusdao.finance.","NS","olympusdao.finance.","erin.ns.cloudflare.com."
,,1620159551,1720777477,4483,"olympusdao.finance.","NS","olympusdao.finance.","abdullah.ns.cloudflare.com."
,,1718978051,1720777525,74815,"olympusdao.finance.","SOA","olympusdao.finance.","abdullah.ns.cloudflare.com. dns.cloudflare.com. 2344460784 10000 2400 604800 1800"
,,1617590215,1720020657,288,"olympusdao.finance.","MX","olympusdao.finance.","1 aspmx.l.google.com."
,,1617590215,1720020657,288,"olympusdao.finance.","MX","olympusdao.finance.","5 alt1.aspmx.l.google.com."
,,1617590215,1720020657,288,"olympusdao.finance.","MX","olympusdao.finance.","5 alt2.aspmx.l.google.com."
,,1617590215,1720020657,288,"olympusdao.finance.","MX","olympusdao.finance.","10 alt3.aspmx.l.google.com."
,,1617590215,1720020657,288,"olympusdao.finance.","MX","olympusdao.finance.","10 alt4.aspmx.l.google.com."
,,1689306186,1720503392,28,"olympusdao.finance.","TXT","olympusdao.finance.","\"v=spf1 include:_spf.google.com ~all\""
,,1689306186,1720503392,28,"olympusdao.finance.","TXT","olympusdao.finance.","\"google-site-verification=c-SYnXj92As38iBNgPGX9RlfvQcxh7TLCss30SashWg\""
,,1689306186,1720503392,28,"olympusdao.finance.","TXT","olympusdao.finance.","\"google-site-verification=c-_qWWw2lYtGllEIbwN8B1nUAmwBCJ5Jt6_u7CogC2k\""
,,1689306186,1720503392,28,"olympusdao.finance.","TXT","olympusdao.finance.","\"google-site-verification=kCwlBPvUV5xaaSuKvmoXUTC8y7StpR5xJpF0ZtwywCc\""
,,1689306186,1720503392,28,"olympusdao.finance.","TXT","olympusdao.finance.","\"wallet-connect-dns-verification=0a80ad4e27b68ea94f9cf25d8cca5509a17f07f59e09e8e7096cbc16528e4fbd\""
