zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621555388,1720739367,,,1123,"opulous.org.","NS","org.","ns-411.awsdns-51.com."
1621555388,1720739367,,,1123,"opulous.org.","NS","org.","ns-896.awsdns-48.net."
1621555388,1720739367,,,1123,"opulous.org.","NS","org.","ns-1215.awsdns-23.org."
1621555388,1720739367,,,1123,"opulous.org.","NS","org.","ns-1969.awsdns-54.co.uk."
,,1718684805,1720749133,157,"opulous.org.","A","opulous.org.","35.172.161.51"
,,1620098856,1720728996,87444,"opulous.org.","NS","org.","ns-411.awsdns-51.com."
,,1620098856,1720728996,87444,"opulous.org.","NS","org.","ns-896.awsdns-48.net."
,,1620098856,1720728996,87444,"opulous.org.","NS","org.","ns-1215.awsdns-23.org."
,,1620098856,1720728996,87444,"opulous.org.","NS","org.","ns-1969.awsdns-54.co.uk."
,,1620098707,1720775409,54326,"opulous.org.","NS","opulous.org.","ns-411.awsdns-51.com."
,,1620098707,1720775409,54326,"opulous.org.","NS","opulous.org.","ns-896.awsdns-48.net."
,,1620098707,1720775409,54326,"opulous.org.","NS","opulous.org.","ns-1215.awsdns-23.org."
,,1620098707,1720775409,54326,"opulous.org.","NS","opulous.org.","ns-1969.awsdns-54.co.uk."
,,1620098708,1720775409,33843,"opulous.org.","SOA","opulous.org.","ns-1969.awsdns-54.co.uk. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400"
