zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1647648981,1720743021,,,824,"orderly.network.","NS","network.","simon.ns.cloudflare.com."
1647648981,1720743021,,,824,"orderly.network.","NS","network.","heather.ns.cloudflare.com."
,,1702376279,1720768209,10841,"orderly.network.","A","orderly.network.","34.144.211.118"
,,1647515799,1720780529,871806,"orderly.network.","NS","network.","simon.ns.cloudflare.com."
,,1647515799,1720780529,871806,"orderly.network.","NS","network.","heather.ns.cloudflare.com."
,,1647590489,1720788958,26994,"orderly.network.","NS","orderly.network.","simon.ns.cloudflare.com."
,,1647590489,1720788958,26994,"orderly.network.","NS","orderly.network.","heather.ns.cloudflare.com."
,,1719478318,1720760734,4303671,"orderly.network.","SOA","orderly.network.","heather.ns.cloudflare.com. dns.cloudflare.com. 2344964000 10000 2400 604800 1800"
,,1647590489,1720608637,231,"orderly.network.","MX","orderly.network.","1 aspmx.l.google.com."
,,1647590489,1720608637,231,"orderly.network.","MX","orderly.network.","5 alt1.aspmx.l.google.com."
,,1647590489,1720608637,231,"orderly.network.","MX","orderly.network.","5 alt2.aspmx.l.google.com."
,,1647590489,1720608637,231,"orderly.network.","MX","orderly.network.","10 alt3.aspmx.l.google.com."
,,1647590489,1720608637,231,"orderly.network.","MX","orderly.network.","10 alt4.aspmx.l.google.com."
,,1700659987,1720747487,26,"orderly.network.","TXT","orderly.network.","\"v=spf1 include:_spf.google.com ~all\""
,,1700659987,1720747487,26,"orderly.network.","TXT","orderly.network.","\"knowbe4-site-verification=f2cb9c2c37f327adbccffa2472db5ef8\""
,,1700659987,1720747487,26,"orderly.network.","TXT","orderly.network.","\"google-site-verification=cCJL-G27EYXF54E_Fe2-5eXp7VCwDl9ZVe8PYdwerAg\""
