zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1622253512,1720742292,,,538,"ouchi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
1622253512,1720742292,,,538,"ouchi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
1622253512,1720742292,,,538,"ouchi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
1622253512,1720742292,,,538,"ouchi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1717868126,1720569276,48,"ouchi.finance.","A","ouchi.finance.","198.185.159.144"
,,1623162125,1720779725,5526,"ouchi.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,1623162125,1720779725,5526,"ouchi.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,1623162125,1720779725,5526,"ouchi.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,1623162125,1720779725,5526,"ouchi.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1623162129,1720779725,28,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b1.googledomains.com."
,,1623162129,1720779725,28,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b2.googledomains.com."
,,1623162129,1720779725,28,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b3.googledomains.com."
,,1623162129,1720779725,28,"ouchi.finance.","NS","ouchi.finance.","ns-cloud-b4.googledomains.com."
,,1718738487,1720569275,43,"ouchi.finance.","SOA","ouchi.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 27 21600 3600 259200 300"
,,1649543729,1719997740,68,"ouchi.finance.","MX","ouchi.finance.","1 aspmx.l.google.com."
,,1649543729,1719997740,68,"ouchi.finance.","MX","ouchi.finance.","5 alt1.aspmx.l.google.com."
,,1649543729,1719997740,68,"ouchi.finance.","MX","ouchi.finance.","5 alt2.aspmx.l.google.com."
,,1649543729,1719997740,68,"ouchi.finance.","MX","ouchi.finance.","10 alt3.aspmx.l.google.com."
,,1649543729,1719997740,68,"ouchi.finance.","MX","ouchi.finance.","10 alt4.aspmx.l.google.com."
,,1649543729,1720070909,15,"ouchi.finance.","TXT","ouchi.finance.","\"v=spf1 include:_spf.google.com ~all\""
