zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"pendle.finance.","NS","finance.","val.ns.cloudflare.com."
1621562525,1720742292,,,1126,"pendle.finance.","NS","finance.","quincy.ns.cloudflare.com."
,,1720737114,1720737114,1,"pendle.finance.","A","pendle.finance.","104.21.64.147"
,,1720737114,1720737114,1,"pendle.finance.","A","pendle.finance.","172.67.151.150"
,,1695715400,1720780983,2634,"pendle.finance.","A","pendle.finance.","104.22.68.179"
,,1695715400,1720780983,2634,"pendle.finance.","A","pendle.finance.","104.22.69.179"
,,1695715400,1720780983,2634,"pendle.finance.","A","pendle.finance.","172.67.4.58"
,,1695788641,1720787586,2599,"pendle.finance.","A","pendle.finance.","188.114.98.229"
,,1695788641,1720787586,2599,"pendle.finance.","A","pendle.finance.","188.114.99.229"
,,1619593484,1720743292,523579,"pendle.finance.","NS","finance.","val.ns.cloudflare.com."
,,1619593484,1720743292,523579,"pendle.finance.","NS","finance.","quincy.ns.cloudflare.com."
,,1720736553,1720736553,1,"pendle.finance.","NS","finance.","leif.ns.cloudflare.com."
,,1720736553,1720736553,1,"pendle.finance.","NS","finance.","adelaide.ns.cloudflare.com."
,,1619849174,1720560090,709,"pendle.finance.","NS","pendle.finance.","val.ns.cloudflare.com."
,,1619849174,1720560090,709,"pendle.finance.","NS","pendle.finance.","quincy.ns.cloudflare.com."
,,1718326571,1720657819,15558,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2343753484 10000 2400 604800 1800"
,,1720738823,1720738823,1,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346222258 10000 2400 604800 1800"
,,1720739144,1720739144,1,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346224829 10000 2400 604800 1800"
,,1720773199,1720773199,1,"pendle.finance.","SOA","pendle.finance.","quincy.ns.cloudflare.com. dns.cloudflare.com. 2346256181 10000 2400 604800 1800"
,,1720736925,1720736925,1,"pendle.finance.","SOA","pendle.finance.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346222570 10000 2400 604800 1800"
,,1720738812,1720738812,1,"pendle.finance.","SOA","pendle.finance.","adelaide.ns.cloudflare.com. dns.cloudflare.com. 2346224206 10000 2400 604800 1800"
,,1609162667,1720617951,291,"pendle.finance.","MX","pendle.finance.","1 aspmx.l.google.com."
,,1609162667,1720617951,291,"pendle.finance.","MX","pendle.finance.","5 alt1.aspmx.l.google.com."
,,1609162667,1720617951,291,"pendle.finance.","MX","pendle.finance.","5 alt2.aspmx.l.google.com."
,,1609162667,1720617951,291,"pendle.finance.","MX","pendle.finance.","10 alt3.aspmx.l.google.com."
,,1609162667,1720617951,291,"pendle.finance.","MX","pendle.finance.","10 alt4.aspmx.l.google.com."
,,1695769995,1720712864,1666,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::6816:44b3"
,,1695769995,1720712864,1666,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::6816:45b3"
,,1695769995,1720712864,1666,"pendle.finance.","AAAA","pendle.finance.","2606:4700:10::ac43:43a"
,,1696045777,1720787586,400,"pendle.finance.","AAAA","pendle.finance.","2a06:98c1:3122:e000::5"
,,1696045777,1720787586,400,"pendle.finance.","AAAA","pendle.finance.","2a06:98c1:3123:e000::5"
,,1696045243,1720688871,1033,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,1720737238,1720737238,1,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h3,h2\" ipv4hint=104.21.64.147,172.67.151.150 ipv6hint=2606:4700:3030::ac43:9796,2606:4700:3036::6815:4093"
,,1695715401,1720714949,1893,"pendle.finance.","HTTPS","pendle.finance.","1 . alpn=\"h2\" ipv4hint=104.22.68.179,104.22.69.179,172.67.4.58 ipv6hint=2606:4700:10::6816:44b3,2606:4700:10::6816:45b3,2606:4700:10::ac43:43a"
