zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"port.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
1621562525,1720742292,,,1126,"port.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
1621562525,1720742292,,,1126,"port.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
1621562525,1720742292,,,1126,"port.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1679026039,1720744390,2548,"port.finance.","A","port.finance.","76.76.21.21"
,,1621005155,1720767128,130981,"port.finance.","NS","finance.","ns-cloud-b1.googledomains.com."
,,1621005155,1720767128,130981,"port.finance.","NS","finance.","ns-cloud-b2.googledomains.com."
,,1621005155,1720767128,130981,"port.finance.","NS","finance.","ns-cloud-b3.googledomains.com."
,,1621005155,1720767128,130981,"port.finance.","NS","finance.","ns-cloud-b4.googledomains.com."
,,1621379643,1720552640,307,"port.finance.","NS","port.finance.","ns-cloud-b1.googledomains.com."
,,1621379643,1720552640,307,"port.finance.","NS","port.finance.","ns-cloud-b2.googledomains.com."
,,1621379643,1720552640,307,"port.finance.","NS","port.finance.","ns-cloud-b3.googledomains.com."
,,1621379643,1720552640,307,"port.finance.","NS","port.finance.","ns-cloud-b4.googledomains.com."
,,1679031283,1719848683,675151,"port.finance.","SOA","port.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 59 21600 3600 259200 300"
,,1719884881,1720611785,19,"port.finance.","SOA","port.finance.","ns-cloud-b1.googledomains.com. cloud-dns-hostmaster.google.com. 60 21600 3600 259200 300"
