zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1621562525,1720742292,,,1126,"premia.finance.","NS","finance.","ken.ns.cloudflare.com."
1621562525,1720742292,,,1126,"premia.finance.","NS","finance.","shubhi.ns.cloudflare.com."
,,1617939234,1720369267,8970,"premia.finance.","A","premia.finance.","104.26.0.129"
,,1617939234,1720369267,8970,"premia.finance.","A","premia.finance.","104.26.1.129"
,,1617939234,1720369267,8970,"premia.finance.","A","premia.finance.","172.67.74.144"
,,1678576607,1720456653,1394,"premia.finance.","A","premia.finance.","188.114.98.229"
,,1678576607,1720456653,1394,"premia.finance.","A","premia.finance.","188.114.99.229"
,,1612902286,1720757250,103148,"premia.finance.","NS","finance.","ken.ns.cloudflare.com."
,,1612902286,1720757250,103148,"premia.finance.","NS","finance.","shubhi.ns.cloudflare.com."
,,1617275747,1719967266,565,"premia.finance.","NS","premia.finance.","ken.ns.cloudflare.com."
,,1617275747,1719967266,565,"premia.finance.","NS","premia.finance.","shubhi.ns.cloudflare.com."
,,1719383312,1719899163,52,"premia.finance.","SOA","premia.finance.","ken.ns.cloudflare.com. dns.cloudflare.com. 2344810868 10000 2400 604800 1800"
,,1719997126,1720747805,75,"premia.finance.","SOA","premia.finance.","ken.ns.cloudflare.com. dns.cloudflare.com. 2345461215 10000 2400 604800 1800"
,,1611996968,1720033879,598,"premia.finance.","MX","premia.finance.","1 aspmx.l.google.com."
,,1611996968,1720033879,598,"premia.finance.","MX","premia.finance.","5 alt1.aspmx.l.google.com."
,,1611996968,1720033879,598,"premia.finance.","MX","premia.finance.","5 alt2.aspmx.l.google.com."
,,1611996968,1720033879,598,"premia.finance.","MX","premia.finance.","10 alt3.aspmx.l.google.com."
,,1611996968,1720033879,598,"premia.finance.","MX","premia.finance.","10 alt4.aspmx.l.google.com."
,,1617939234,1720634919,5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::681a:81"
,,1617939234,1720634919,5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::681a:181"
,,1617939234,1720634919,5052,"premia.finance.","AAAA","premia.finance.","2606:4700:20::ac43:4a90"
,,1678630192,1720301229,178,"premia.finance.","AAAA","premia.finance.","2a06:98c1:3122:e000::5"
,,1678630192,1720301229,178,"premia.finance.","AAAA","premia.finance.","2a06:98c1:3123:e000::5"
