zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1666650040,1720738701,,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e1.googledomains.com."
1666650040,1720738701,,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e2.googledomains.com."
1666650040,1720738701,,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e3.googledomains.com."
1666650040,1720738701,,,626,"pxswap.xyz.","NS","xyz.","ns-cloud-e4.googledomains.com."
,,1672221171,1720727237,286,"pxswap.xyz.","A","pxswap.xyz.","76.76.21.21"
,,1666746119,1720727237,923,"pxswap.xyz.","NS","xyz.","ns-cloud-e1.googledomains.com."
,,1666746119,1720727237,923,"pxswap.xyz.","NS","xyz.","ns-cloud-e2.googledomains.com."
,,1666746119,1720727237,923,"pxswap.xyz.","NS","xyz.","ns-cloud-e3.googledomains.com."
,,1666746119,1720727237,923,"pxswap.xyz.","NS","xyz.","ns-cloud-e4.googledomains.com."
,,1666789244,1720658690,46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e1.googledomains.com."
,,1666789244,1720658690,46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e2.googledomains.com."
,,1666789244,1720658690,46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e3.googledomains.com."
,,1666789244,1720658690,46,"pxswap.xyz.","NS","pxswap.xyz.","ns-cloud-e4.googledomains.com."
,,1718809507,1720727231,5,"pxswap.xyz.","SOA","pxswap.xyz.","ns-cloud-e1.googledomains.com. cloud-dns-hostmaster.google.com. 13 21600 3600 259200 300"
